样本id,A1,A3,A4,A5,A6,A10,A12,A13,A15,A17,A18,A19,A21,A22,A23,A25,A27,B1,B2,B3,B6,B8,B12,B13,B14,收率,A7-A5,A9-A7,A11-A9,A14-A11,A16-A14,A20s-A16,A20e-A20s,A24-A20e,A26-A24,A28s-A26,A28e-A28s,B4s-A28e,B4e-B4s,B5-B4e,B7-B5,B9s-B7,B9e-B9s,B10s-B9e,B10e-B10s,B11s-B10e,B11e-B11s
sample_1743,300,405.0,700,50400,29.0,101,103,0.2,104.0,105.0,0.2,200,50.0,9.0,5.0,78,73,320.0,3.5,3.5,78,45.0,1200.0,0.15,400,0.936,9.999722222222223,16.00027777777778,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,1.5,0.0,1.5,0.0,1.5
sample_1493,300,405.0,700,75600,37.0,100,102,0.2,104.0,103.0,0.2,300,50.0,9.0,5.0,75,70,360.0,3.5,3.5,65,30.0,800.0,0.15,400,0.8909999999999999,0.3333333333333333,1.6666666666666667,1.0,1.0,1.0,1.5,0.5,0.5,0.5,7.833333333333333,0.5,0.16666666666666666,2.0,0.0,5.5,0.0,1.5,0.5,1.5,23.49972222222222,0.0
sample_1613,300,405.0,700,39600,33.0,100,101,0.2,103.0,105.0,0.2,300,50.0,9.0,5.0,70,78,360.0,3.5,3.5,65,50.0,800.0,0.15,400,0.8909999999999999,12.999722222222223,12.500277777777777,1.0,1.0,1.0,0.5,1.5,0.5,0.5,3.5,1.0,0.0,1.5,0.0,3.5,0.0,1.5,0.5,1.5,16.49972222222222,0.0
sample_621,300,405.0,700,21600,29.0,102,102,0.2,105.0,104.0,0.2,200,50.0,9.0,5.0,78,76,320.0,3.5,3.5,74,45.0,1200.0,0.15,400,0.947,17.99972222222222,8.000277777777777,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.5,0.5,0.0,2.0,0.0,1.5,0.0,1.5,0.0,1.0
sample_1269,300,405.0,700,21600,29.0,101,103,0.2,104.0,105.0,0.2,200,50.0,9.0,5.0,80,73,320.0,3.5,3.5,80,45.0,1200.0,0.15,400,0.925,17.99972222222222,8.000277777777777,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,1.5,0.0,1.5,0.0,1.0
sample_1037,300,405.0,700,75600,21.0,100,102,0.2,104.0,105.0,0.2,200,50.0,9.0,5.0,70,78,300.0,3.5,3.5,65,45.0,800.0,0.15,400,0.902,2.999722222222222,22.50027777777778,1.0,1.0,1.0,0.5,0.5,0.5,0.5,3.5,1.0,0.5,1.5,0.0,3.0,1.0,1.5,1.0,1.5,5.999722222222222,0.0
sample_1736,300,405.0,700,21600,29.0,102,103,0.2,105.0,107.0,0.2,200,50.0,9.0,5.0,80,72,320.0,3.5,3.5,80,45.0,1200.0,0.15,420,0.971,17.99972222222222,8.000277777777777,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,1.5,0.0,1.5,0.0,1.0
sample_97,300,405.0,700,57600,29.0,102,104,0.2,105.0,106.0,0.2,200,50.0,9.0,5.0,80,73,320.0,3.5,3.5,80,45.0,1200.0,0.15,400,0.902,7.999722222222222,18.00027777777778,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,20.0,6.0,1.5,0.0,1.5,0.0,1.0
sample_642,300,405.0,700,50400,29.0,101,103,0.2,104.0,105.0,0.2,200,50.0,9.0,5.0,80,73,320.0,3.5,3.5,80,45.0,1200.0,0.15,400,0.913,9.999722222222223,16.00027777777778,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,1.5,0.0,1.5,0.0,1.0
sample_179,300,405.0,700,50400,29.0,101,103,0.2,104.0,105.0,0.2,200,50.0,9.0,5.0,78,72,1200.0,0.15,3.5,78,45.0,1200.0,0.15,400,0.925,9.999722222222223,16.00027777777778,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,1.5,0.0,1.5,0.0,1.0
sample_759,300,405.0,700,16200,27.0,102,104,0.2,105.0,105.0,0.2,200,50.0,9.0,5.0,80,73,320.0,3.5,3.5,80,45.0,1200.0,0.15,440,0.93,19.49972222222222,6.500277777777778,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,3.5,4.999722222222222,0.0,0.0,0.0
sample_812,300,405.0,700,21600,30.0,102,104,0.2,105.0,106.0,0.2,200,50.0,9.0,5.0,80,73,320.0,3.5,3.5,80,45.0,1200.0,0.15,440,0.93,17.99972222222222,8.000277777777777,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,4.0,2.999722222222222,0.0,0.0,0.0
sample_1395,300,405.0,700,50400,30.0,102,103,0.2,104.0,105.0,0.2,200,50.0,9.0,5.0,80,73,320.0,3.5,3.5,80,45.0,1200.0,0.15,440,0.93,9.999722222222223,16.00027777777778,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,4.0,18.99972222222222,0.0,0.0,0.0
sample_922,300,405.0,700,70200,38.0,100,102,0.2,103.0,102.0,0.2,300,50.0,10.0,5.0,70,75,370.0,3.5,3.5,45,40.0,800.0,0.15,420,0.947,0.16666666666666666,1.3333333333333333,1.0,1.0,1.0,6.5,0.5,0.5,0.5,6.5,0.5,0.0,2.0,0.0,4.0,0.5,1.5,0.5,1.5,22.99972222222222,0.0
sample_514,300,405.0,700,39600,26.0,100,101,0.2,103.0,105.0,0.2,300,50.0,9.0,5.0,70,78,340.0,3.5,3.5,65,45.0,800.0,0.15,420,0.935,12.999722222222223,12.500277777777777,1.0,1.0,1.0,0.5,0.5,0.5,0.5,7.0,1.0,0.0,1.5,0.0,5.0,0.0,1.5,0.5,1.5,12.499722222222223,0.0
sample_72,300,405.0,700,79200,30.0,101,103,0.2,105.0,107.0,0.2,200,50.0,9.0,5.0,80,72,320.0,3.5,3.5,78,45.0,1200.0,0.15,420,0.971,1.9997222222222222,0.0002777777777777778,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,1.5,0.0,1.5,0.0,1.0
sample_1344,300,405.0,700,21600,30.0,102,104,0.2,105.0,106.0,0.2,200,50.0,9.0,5.0,80,73,320.0,3.5,3.5,80,45.0,1200.0,0.15,440,0.93,17.99972222222222,8.000277777777777,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,4.0,2.999722222222222,0.0,0.0,0.0
sample_582,300,405.0,700,34200,20.0,101,102,0.2,104.0,105.0,0.2,200,50.0,9.0,5.0,90,78,330.0,3.5,3.5,65,45.0,1200.0,0.15,420,0.935,14.499722222222223,11.500277777777777,1.0,1.0,1.0,0.0,1.0,0.0,0.5,0.0,1.0,0.5,1.0,0.0,1.0,0.0,1.0,1.0,0.5,1.9997222222222222,0.0
sample_1002,300,405.0,700,50400,21.0,100,101,0.2,102.0,103.0,0.2,200,50.0,9.0,5.0,70,78,300.0,3.5,3.5,60,39.0,800.0,0.15,380,0.878,9.999722222222223,15.000277777777777,1.0,1.0,1.0,0.0,0.5,0.0,0.5,0.0,1.0,0.0,1.5,0.0,6.5,0.5,1.5,1.0,1.0,15.999722222222223,0.0
sample_1079,300,405.0,700,3600,27.0,100,101,0.2,103.0,105.0,0.2,300,50.0,10.0,5.0,70,78,350.0,3.5,3.5,65,45.0,800.0,0.15,400,0.902,22.99972222222222,2.500277777777778,1.0,1.0,1.0,3.0,0.5,0.5,0.5,6.5,1.0,0.0,1.5,0.0,3.0,2.0,1.5,1.0,1.5,19.99972222222222,0.0
sample_484,300,405.0,700,39600,21.0,100,102,0.2,104.0,105.0,0.2,200,50.0,9.0,5.0,70,78,290.0,3.5,3.5,65,45.0,800.0,0.15,400,0.902,12.999722222222223,12.500277777777777,1.0,1.0,1.0,0.5,0.5,0.5,0.5,4.0,1.0,0.5,1.5,0.0,3.0,1.0,1.5,1.0,1.5,15.499722222222223,0.0
sample_1823,300,405.0,700,21600,29.0,102,103,0.2,105.0,107.0,0.2,200,50.0,9.0,5.0,80,73,320.0,3.5,3.5,79,45.0,1200.0,0.15,400,0.936,17.99972222222222,8.000277777777777,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,1.5,0.0,1.5,0.0,1.0
sample_1818,300,405.0,700,50400,29.0,102,103,0.2,104.0,105.0,0.2,200,50.0,9.0,5.0,80,73,320.0,3.5,3.5,80,45.0,1200.0,0.15,420,0.983,9.999722222222223,16.00027777777778,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,1.5,0.0,1.5,0.0,1.0
sample_457,300,405.0,700,64800,35.0,100,102,0.2,104.0,105.0,0.2,200,50.0,9.0,5.0,70,78,290.0,3.5,3.5,65,45.0,800.0,0.15,400,0.902,5.999722222222222,19.00027777777778,1.0,1.0,1.0,0.5,0.5,0.5,0.5,3.5,0.5,0.0,1.0,0.0,3.0,1.5,1.5,0.5,1.5,10.999722222222223,0.0
sample_69,300,405.0,700,7200,18.0,100,103,0.2,105.0,105.0,0.2,300,50.0,9.0,5.0,70,74,350.0,3.5,3.5,70,45.0,800.0,0.15,400,0.902,21.99972222222222,3.000277777777778,1.0,1.0,1.0,5.333333333333333,0.5,19.5,0.5,0.0,1.1666666666666667,0.0,1.0,0.0,1.5,0.0,1.5,0.5,1.5,8.999722222222223,0.0
sample_997,300,405.0,700,43200,21.0,100,101,0.2,103.0,105.0,0.2,200,50.0,9.0,5.0,70,78,290.0,3.5,3.5,63,50.0,800.0,0.15,400,0.902,11.999722222222223,13.500277777777777,1.0,1.0,1.0,0.5,0.5,0.5,0.5,4.0,1.0,2.5,1.0,0.0,1.0,0.5,1.5,1.0,1.5,15.499722222222223,0.0
sample_1004,300,405.0,700,25200,20.0,100,102,0.2,103.0,105.0,0.2,200,50.0,9.0,5.0,70,78,290.0,3.5,3.5,60,40.0,800.0,0.15,400,0.902,16.99972222222222,8.500277777777777,1.0,1.0,1.0,0.5,0.5,0.5,0.5,3.5,1.0,0.0,1.0,0.0,2.0,2.5,1.5,1.0,1.5,20.49972222222222,0.0
sample_232,300,405.0,700,50400,29.0,101,103,0.2,104.0,105.0,0.2,200,50.0,9.0,5.0,80,72,320.0,3.5,3.5,79,45.0,1200.0,0.15,400,0.913,9.999722222222223,16.00027777777778,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.5,0.0,1.5,0.0,1.0
sample_1851,300,405.0,700,21600,29.0,102,103,0.2,105.0,107.0,0.2,200,50.0,9.0,5.0,78,72,320.0,3.5,3.5,80,45.0,1200.0,0.15,400,0.925,17.99972222222222,8.000277777777777,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,1.5,0.0,1.5,0.0,1.0
sample_1167,300,405.0,700,79200,20.0,101,103,0.2,105.0,104.0,0.2,200,50.0,9.0,5.0,79,75,320.0,3.5,3.5,65,45.0,1200.0,0.15,400,0.8909999999999999,1.9997222222222222,0.0002777777777777778,1.0,1.0,1.0,0.0,1.0,0.0,0.5,0.0,1.0,0.0,1.0,0.0,1.5,0.0,1.5,0.0,1.5,0.0,1.0
sample_433,300,405.0,700,61200,21.0,100,102,0.2,104.0,106.0,0.2,100,50.0,9.0,5.0,80,78,280.0,3.5,3.5,65,45.0,800.0,0.15,400,0.8909999999999999,6.999722222222222,19.00027777777778,1.0,1.0,1.0,0.0,1.5,23.5,0.5,0.0,1.0,0.5,1.5,0.0,2.0,0.0,1.5,0.5,1.5,15.999722222222223,0.0
sample_1612,300,405.0,700,0,21.0,100,102,0.2,104.0,105.0,0.2,300,50.0,9.0,5.0,70,78,370.0,3.5,3.5,65,45.0,800.0,0.15,400,0.902,23.99972222222222,1.5002777777777778,1.0,1.0,1.0,0.5,0.5,0.5,0.5,8.5,1.0,0.0,1.0,0.0,2.0,0.5,1.5,1.0,1.5,0.49972222222222223,0.0
sample_673,300,405.0,700,79200,29.0,101,103,0.2,104.0,105.0,0.2,200,50.0,9.0,5.0,80,73,320.0,3.5,3.5,80,45.0,1200.0,0.15,420,0.983,1.9997222222222222,0.0002777777777777778,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,1.5,0.0,1.5,0.0,1.0
sample_1958,300,405.0,700,21600,29.0,102,103,0.2,104.0,105.0,0.2,200,50.0,9.0,5.0,80,73,320.0,3.5,3.5,80,45.0,1200.0,0.15,440,0.93,17.99972222222222,8.000277777777777,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,4.0,2.999722222222222,0.0,0.0,0.0
sample_1046,250,340.0,590,36000,22.0,100,101,0.2,103.0,105.0,0.2,300,90.0,9.0,5.0,70,78,220.0,3.5,3.5,65,50.0,400.0,0.15,340,0.92,13.999722222222223,11.500277777777777,1.0,1.0,1.0,0.5,0.5,1.0,0.5,20.0,5.5,3.5,2.0,0.0,5.0,1.0,2.0,15.999722222222223,0.0,0.0,0.0
sample_732,300,405.0,700,21600,28.0,102,104,0.2,105.0,105.0,0.2,200,50.0,9.0,5.0,80,73,320.0,3.5,3.5,80,45.0,1200.0,0.15,440,0.93,17.99972222222222,8.000277777777777,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,4.0,2.999722222222222,0.0,0.0,0.0
sample_355,300,405.0,700,25200,38.0,100,103,0.2,103.0,104.0,0.2,300,50.0,9.0,5.0,70,75,370.0,3.5,3.5,65,45.0,800.0,0.15,400,0.947,0.16666666666666666,1.3333333333333333,1.0,1.0,1.0,4.0,0.5,0.5,0.5,7.0,0.5,0.5,2.0,0.0,5.0,0.0,1.5,0.5,1.5,12.499722222222223,0.0
sample_568,300,405.0,700,28800,29.0,102,103,0.2,104.0,105.0,0.2,200,50.0,9.0,5.0,78,73,320.0,3.5,3.5,80,45.0,1200.0,0.15,400,0.902,15.999722222222223,10.000277777777777,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,1.5,0.0,1.5,0.0,1.0
sample_1531,300,405.0,700,60000,41.0,100,102,0.2,102.0,103.0,0.2,300,50.0,9.0,5.0,70,75,360.0,3.5,3.5,65,45.0,800.0,0.15,400,0.8909999999999999,7.333055555555555,17.83361111111111,1.0,1.0,1.0,3.1666666666666665,0.5,0.0,0.5,10.0,0.5,0.0,2.0,0.0,2.0,0.0,1.5,1.0,1.5,4.499722222222222,0.0
sample_949,300,405.0,700,36000,23.0,100,104,0.2,106.0,107.0,0.2,300,50.0,9.0,5.0,70,76,320.0,3.5,3.5,66,45.0,800.0,0.15,400,0.913,13.999722222222223,11.000277777777777,1.0,1.0,1.0,0.16666666666666666,0.5,0.3333333333333333,0.5,0.0,1.0,0.5,1.0,0.0,2.0,0.16666666666666666,1.1666666666666667,0.3333333333333333,1.1666666666666667,1.166388888888889,0.0
sample_1856,300,405.0,700,79200,29.0,102,103,0.2,104.0,105.0,0.2,200,50.0,9.0,5.0,78,73,320.0,3.5,3.5,80,45.0,1200.0,0.15,400,0.902,1.9997222222222222,0.0002777777777777778,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,1.5,0.0,1.5,0.0,1.0
sample_907,300,405.0,700,23400,39.0,100,102,0.2,104.0,102.0,0.2,300,50.0,9.0,5.0,70,75,370.0,3.5,3.5,65,39.0,800.0,0.15,400,0.879,0.16666666666666666,1.5833333333333333,1.0,1.0,1.0,2.75,0.5,0.0,0.5,9.5,0.5,0.0,2.0,0.0,5.0,0.0,1.5,1.0,1.5,11.999722222222223,0.0
sample_225,300,405.0,700,21600,29.0,102,103,0.2,105.0,107.0,0.2,200,50.0,9.0,5.0,79,72,320.0,3.5,3.5,80,45.0,1200.0,0.15,400,0.913,17.99972222222222,8.000277777777777,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,1.5,0.0,1.5,0.0,1.0
sample_1175,300,405.0,700,79200,29.0,101,103,0.2,104.0,105.0,0.2,200,50.0,9.0,5.0,80,73,320.0,3.5,3.5,80,45.0,1200.0,0.15,420,0.983,1.9997222222222222,0.0002777777777777778,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,1.5,0.0,1.5,0.0,1.0
sample_219,300,405.0,700,50400,30.0,100,104,0.2,106.0,107.0,0.2,200,50.0,9.0,5.0,80,73,320.0,3.5,3.5,80,45.0,1200.0,0.15,420,0.971,9.999722222222223,16.00027777777778,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,1.5,0.0,1.5,0.0,1.0
sample_17,300,405.0,700,68400,23.0,100,102,0.2,102.0,103.0,0.2,300,50.0,9.0,5.0,70,77,300.0,3.5,3.5,60,40.0,800.0,0.15,400,0.879,4.999722222222222,20.50027777777778,1.0,1.0,1.0,1.5,0.5,0.0,0.5,8.0,1.0,0.0,1.0,0.0,4.0,0.0,1.5,0.5,1.5,4.499722222222222,0.0
sample_1752,300,405.0,700,21600,29.0,102,103,0.2,104.0,105.0,0.2,200,50.0,9.0,5.0,78,73,320.0,3.5,3.5,79,45.0,1200.0,0.15,400,0.925,17.99972222222222,8.000277777777777,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,1.5,0.0,1.5,0.0,1.0
sample_368,300,405.0,700,3600,38.0,100,103,0.2,104.0,102.0,0.2,300,50.0,10.0,5.0,70,75,370.0,3.5,3.5,55,45.0,800.0,0.15,420,0.935,0.16666666666666666,1.3333333333333333,1.0,1.0,1.0,5.5,0.5,0.0,0.5,8.0,0.5,0.0,2.5,0.0,5.0,0.0,1.5,0.5,1.5,16.49972222222222,0.0
sample_1097,300,405.0,700,28800,21.0,100,101,0.2,103.0,105.0,0.2,300,50.0,9.0,5.0,70,78,340.0,3.5,3.5,65,45.0,800.0,0.15,440,0.967,15.999722222222223,9.500277777777777,1.0,1.0,1.0,1.0,0.5,0.5,0.5,6.5,1.0,0.0,1.5,0.0,5.0,0.0,1.5,1.0,1.5,14.999722222222223,0.0
sample_1388,300,405.0,700,75600,29.0,102,103,0.2,104.0,105.0,0.2,200,50.0,9.0,5.0,80,73,320.0,3.5,3.5,80,45.0,1200.0,0.15,420,0.888,2.999722222222222,23.00027777777778,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,4.0,11.999722222222223,0.0,0.0,0.0
sample_296,300,,980,63000,24.0,100,102,0.2,104.0,105.0,0.2,300,35.0,9.0,5.0,70,78,300.0,3.5,3.5,60,40.0,800.0,0.15,400,0.902,6.499722222222222,19.00027777777778,1.0,1.0,1.0,2.0,0.5,0.5,0.5,9.0,1.0,0.0,1.0,0.0,2.0,2.0,1.0,0.5,1.5,4.499722222222222,0.0
sample_365,300,405.0,700,75600,41.0,100,102,0.2,102.0,104.0,0.2,300,50.0,9.0,5.0,70,75,370.0,3.5,3.5,60,45.0,800.0,0.15,420,0.947,0.3333333333333333,1.4166666666666667,1.0,1.0,1.0,2.25,0.5,0.5,0.5,7.5,0.5,0.0,2.0,0.0,3.5,1.5,1.5,1.0,1.5,23.49972222222222,0.0
sample_1753,300,405.0,700,50400,30.0,100,102,0.2,104.0,106.0,0.2,200,50.0,9.0,5.0,80,73,320.0,3.5,3.5,78,45.0,1200.0,0.15,400,0.947,9.999722222222223,16.00027777777778,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,8.0,1.0,0.0,2.0,0.0,1.5,0.0,1.5,0.0,1.0
sample_1747,300,405.0,700,79200,29.0,101,103,0.2,104.0,105.0,0.2,200,50.0,9.0,5.0,80,73,320.0,3.5,3.5,80,45.0,1200.0,0.15,400,0.936,1.9997222222222222,0.0002777777777777778,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,1.5,0.0,1.5,0.0,1.5
sample_1289,300,405.0,700,50400,27.0,102,104,0.2,105.0,106.0,0.2,200,50.0,9.0,5.0,80,73,320.0,3.5,3.5,80,45.0,1200.0,0.15,460,0.998,9.999722222222223,16.00027777777778,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,4.0,19.99972222222222,0.0,0.0,0.0
sample_1552,300,405.0,700,18000,32.0,100,103,0.2,103.0,104.0,0.2,300,50.0,9.0,5.0,70,75,350.0,3.5,3.5,65,35.0,800.0,0.15,400,0.902,0.5,1.5,1.0,1.0,1.0,0.16666666666666666,0.5,0.5,0.5,4.333333333333333,0.5,0.0,2.0,0.0,6.5,22.99972222222222,0.0,3.000277777777778,1.5,19.49972222222222,0.0
sample_717,300,405.0,700,21600,30.0,102,103,0.2,104.0,104.0,0.2,200,50.0,9.0,5.0,78,76,320.0,3.5,3.5,79,45.0,1200.0,0.15,400,0.936,17.99972222222222,8.000277777777777,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,1.5,0.0,1.5,0.0,1.0
sample_1950,300,405.0,700,50400,30.0,102,103,0.2,104.0,105.0,0.2,200,50.0,9.0,5.0,80,73,320.0,3.5,3.5,80,45.0,1200.0,0.15,440,0.93,9.999722222222223,16.00027777777778,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,4.0,18.99972222222222,0.0,0.0,0.0
sample_1786,300,405.0,700,79200,29.0,102,103,0.2,104.0,105.0,0.2,200,50.0,9.0,5.0,80,73,320.0,3.5,3.5,80,45.0,1200.0,0.15,400,0.925,1.9997222222222222,0.0002777777777777778,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,1.5,0.0,1.5,0.0,1.0
sample_1979,300,405.0,700,21600,29.0,102,103,0.2,104.0,105.0,0.2,200,50.0,9.0,5.0,80,73,320.0,3.5,3.5,80,45.0,1200.0,0.15,440,0.93,17.99972222222222,8.000277777777777,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,1.5,0.0,1.5,0.0,1.0
sample_543,300,405.0,700,14400,26.0,100,102,0.2,102.0,102.0,0.2,300,50.0,9.0,5.0,70,78,340.0,3.5,3.5,65,45.0,800.0,0.15,420,0.947,19.99972222222222,5.500277777777778,1.0,1.0,1.0,0.0,0.5,0.5,0.5,6.5,1.0,0.0,1.5,0.0,2.0,2.5,1.5,0.5,1.5,20.99972222222222,0.0
sample_995,300,405.0,700,68400,26.0,100,101,0.2,102.0,103.0,0.2,200,50.0,10.0,5.0,70,77,300.0,3.5,3.5,58,40.0,800.0,0.15,390,0.89,4.999722222222222,20.00027777777778,1.0,1.0,1.0,0.0,0.5,0.0,0.5,0.0,1.0,0.0,1.5,0.0,1.5,5.0,1.5,1.0,1.5,10.999722222222223,0.0
