样本id,A5,A6,A7,A8,A9,A10,A11,A12,A14,A15,A16,A17,A19,A20,A21,A22,A24,A25,A26,A27,A28,B1,B4,B5,B6,B7,B8,B9,B10,B11,B12,B14,收率
sample_1743,14.0,29.0,-1.0,-1.0,16.0,101.0,17.0,103.0,18.0,104.0,19.0,105.0,200.0,1.0,50.0,9.0,20.0,78,21.0,73.0,1.0,320.0,1.0,23.0,78.0,1.0,45.0,1.5,1.5,1.5,1200.0,400.0,0.9359999999999999
sample_1493,21.0,37.0,21.333333333333332,80.0,23.0,100.0,0.0,102.0,1.0,104.0,2.0,103.0,300.0,0.5,50.0,9.0,4.5,75,5.0,70.0,0.5,360.0,2.0,15.5,65.0,21.0,30.0,1.5,1.5,-1.0,800.0,400.0,0.8909999999999999
sample_1613,11.0,33.0,-1.0,-1.0,12.5,100.0,13.5,101.0,14.5,103.0,15.5,105.0,300.0,1.5,50.0,9.0,18.0,70,18.5,78.0,1.0,360.0,1.5,0.5,65.0,4.0,50.0,1.5,1.5,-1.0,800.0,400.0,0.8909999999999999
sample_621,6.0,29.0,-1.0,-1.0,8.0,102.0,9.0,102.0,10.0,105.0,11.0,104.0,200.0,1.0,50.0,9.0,12.0,78,13.0,76.0,1.0,320.0,0.5,15.0,74.0,17.0,45.0,1.5,1.5,1.0,1200.0,400.0,0.9470000000000001
sample_1269,6.0,29.0,-1.0,-1.0,8.0,101.0,9.0,103.0,10.0,104.0,11.0,105.0,200.0,1.0,50.0,9.0,12.0,80,13.0,73.0,1.0,320.0,1.0,15.0,80.0,17.0,45.0,1.5,1.5,1.0,1200.0,400.0,0.925
sample_1037,21.0,21.0,-1.0,-1.0,22.5,100.0,23.5,102.0,0.5,104.0,1.5,105.0,200.0,0.5,50.0,9.0,3.0,70,3.5,78.0,1.0,300.0,1.5,10.0,65.0,13.0,45.0,1.5,1.5,-1.0,800.0,400.0,0.902
sample_1736,6.0,29.0,-1.0,-1.0,8.0,102.0,9.0,103.0,10.0,105.0,11.0,107.0,200.0,1.0,50.0,9.0,12.0,80,13.0,72.0,1.0,320.0,1.0,15.0,80.0,17.0,45.0,1.5,1.5,1.0,1200.0,420.0,0.971
sample_97,16.0,29.0,-1.0,-1.0,18.0,102.0,19.0,104.0,20.0,105.0,21.0,106.0,200.0,1.0,50.0,9.0,22.0,80,23.0,73.0,1.0,320.0,1.0,1.0,80.0,21.0,45.0,1.5,1.5,1.0,1200.0,400.0,0.902
sample_642,14.0,29.0,-1.0,-1.0,16.0,101.0,17.0,103.0,18.0,104.0,19.0,105.0,200.0,1.0,50.0,9.0,20.0,80,21.0,73.0,1.0,320.0,1.0,23.0,80.0,1.0,45.0,1.5,1.5,1.0,1200.0,400.0,0.9129999999999999
sample_179,14.0,29.0,-1.0,-1.0,16.0,101.0,17.0,103.0,18.0,104.0,19.0,105.0,200.0,1.0,50.0,9.0,20.0,78,21.0,72.0,1.0,1200.0,1.0,23.0,78.0,1.0,45.0,1.5,1.5,1.0,1200.0,400.0,0.925
sample_759,4.5,27.0,-1.0,-1.0,6.5,102.0,7.5,104.0,8.5,105.0,9.5,105.0,200.0,1.0,50.0,9.0,10.5,80,11.5,73.0,1.0,320.0,1.0,13.5,80.0,15.5,45.0,3.5,-1.0,-1.0,1200.0,440.0,0.93
sample_812,6.0,30.0,-1.0,-1.0,8.0,102.0,9.0,104.0,10.0,105.0,11.0,106.0,200.0,1.0,50.0,9.0,12.0,80,13.0,73.0,1.0,320.0,1.0,15.0,80.0,17.0,45.0,4.0,-1.0,-1.0,1200.0,440.0,0.93
sample_1395,14.0,30.0,-1.0,-1.0,16.0,102.0,17.0,103.0,18.0,104.0,19.0,105.0,200.0,1.0,50.0,9.0,20.0,80,21.0,73.0,1.0,320.0,1.0,23.0,80.0,1.0,45.0,4.0,-1.0,-1.0,1200.0,440.0,0.93
sample_922,19.5,38.0,19.666666666666668,80.0,21.0,100.0,22.0,102.0,23.0,103.0,0.0,102.0,300.0,0.5,50.0,10.0,7.5,70,8.0,75.0,0.5,370.0,2.0,17.0,45.0,21.0,40.0,1.5,1.5,-1.0,800.0,420.0,0.9470000000000001
sample_514,11.0,26.0,-1.0,-1.0,12.5,100.0,13.5,101.0,14.5,103.0,15.5,105.0,300.0,0.5,50.0,9.0,17.0,70,17.5,78.0,1.0,340.0,1.5,3.0,65.0,8.0,45.0,1.5,1.5,-1.0,800.0,420.0,0.935
sample_72,22.0,30.0,-1.0,-1.0,0.0,101.0,1.0,103.0,2.0,105.0,3.0,107.0,200.0,1.0,50.0,9.0,4.0,80,5.0,72.0,1.0,320.0,1.0,7.0,78.0,9.0,45.0,1.5,1.5,1.0,1200.0,420.0,0.971
sample_1344,6.0,30.0,-1.0,-1.0,8.0,102.0,9.0,104.0,10.0,105.0,11.0,106.0,200.0,1.0,50.0,9.0,12.0,80,13.0,73.0,1.0,320.0,1.0,15.0,80.0,17.0,45.0,4.0,-1.0,-1.0,1200.0,440.0,0.93
sample_582,9.5,20.0,-1.0,-1.0,11.5,101.0,12.5,102.0,13.5,104.0,14.5,105.0,200.0,1.0,50.0,9.0,15.5,90,16.0,78.0,1.0,330.0,1.0,18.5,65.0,19.5,45.0,1.0,0.5,-1.0,1200.0,420.0,0.935
sample_1002,14.0,21.0,-1.0,-1.0,15.0,100.0,16.0,101.0,17.0,102.0,18.0,103.0,200.0,0.5,50.0,9.0,18.5,70,19.0,78.0,1.0,300.0,1.5,21.5,60.0,4.0,39.0,1.5,1.0,-1.0,800.0,380.0,0.878
sample_1079,1.0,27.0,-1.0,-1.0,2.5,100.0,3.5,101.0,4.5,103.0,5.5,105.0,300.0,0.5,50.0,10.0,9.5,70,10.0,78.0,1.0,350.0,1.5,19.0,65.0,22.0,45.0,1.5,1.5,-1.0,800.0,400.0,0.902
sample_484,11.0,21.0,-1.0,-1.0,12.5,100.0,13.5,102.0,14.5,104.0,15.5,105.0,200.0,0.5,50.0,9.0,17.0,70,17.5,78.0,1.0,290.0,1.5,0.5,65.0,3.5,45.0,1.5,1.5,-1.0,800.0,400.0,0.902
sample_1823,6.0,29.0,-1.0,-1.0,8.0,102.0,9.0,103.0,10.0,105.0,11.0,107.0,200.0,1.0,50.0,9.0,12.0,80,13.0,73.0,1.0,320.0,1.0,15.0,79.0,17.0,45.0,1.5,1.5,1.0,1200.0,400.0,0.9359999999999999
sample_1818,14.0,29.0,-1.0,-1.0,16.0,102.0,17.0,103.0,18.0,104.0,19.0,105.0,200.0,1.0,50.0,9.0,20.0,80,21.0,73.0,1.0,320.0,1.0,23.0,80.0,1.0,45.0,1.5,1.5,1.0,1200.0,420.0,0.983
sample_457,18.0,35.0,-1.0,-1.0,19.0,100.0,20.0,102.0,21.0,104.0,22.0,105.0,200.0,0.5,50.0,9.0,23.5,70,0.0,78.0,0.5,290.0,1.0,5.0,65.0,8.0,45.0,1.5,1.5,-1.0,800.0,400.0,0.902
sample_69,2.0,18.0,-1.0,-1.0,3.0,100.0,4.0,103.0,5.0,105.0,6.0,105.0,300.0,0.5,50.0,9.0,7.333333333333333,70,7.833333333333333,74.0,1.1666666666666667,350.0,1.0,10.0,70.0,11.5,45.0,1.5,1.5,-1.0,800.0,400.0,0.902
sample_997,12.0,21.0,-1.0,-1.0,13.5,100.0,14.5,101.0,15.5,103.0,16.5,105.0,200.0,0.5,50.0,9.0,18.0,70,18.5,78.0,1.0,290.0,1.0,3.0,63.0,4.0,50.0,1.5,1.5,-1.0,800.0,400.0,0.902
sample_1004,7.0,20.0,-1.0,-1.0,8.5,100.0,9.5,102.0,10.5,103.0,11.5,105.0,200.0,0.5,50.0,9.0,13.0,70,13.5,78.0,1.0,290.0,1.0,19.0,60.0,21.0,40.0,1.5,1.5,-1.0,800.0,400.0,0.902
sample_232,14.0,29.0,-1.0,-1.0,16.0,101.0,17.0,103.0,18.0,104.0,19.0,105.0,200.0,1.0,50.0,9.0,20.0,80,21.0,72.0,1.0,320.0,1.0,23.0,79.0,0.0,45.0,1.5,1.5,1.0,1200.0,400.0,0.9129999999999999
sample_1851,6.0,29.0,-1.0,-1.0,8.0,102.0,9.0,103.0,10.0,105.0,11.0,107.0,200.0,1.0,50.0,9.0,12.0,78,13.0,72.0,1.0,320.0,1.0,15.0,80.0,17.0,45.0,1.5,1.5,1.0,1200.0,400.0,0.925
sample_1167,22.0,20.0,-1.0,-1.0,0.0,101.0,1.0,103.0,2.0,105.0,3.0,104.0,200.0,1.0,50.0,9.0,4.0,79,4.5,75.0,1.0,320.0,1.0,6.5,65.0,8.0,45.0,1.5,1.5,1.0,1200.0,400.0,0.8909999999999999
sample_433,17.0,21.0,-1.0,-1.0,19.0,100.0,20.0,102.0,21.0,104.0,22.0,106.0,100.0,1.5,50.0,9.0,23.0,80,23.5,78.0,1.0,280.0,1.5,2.5,65.0,4.5,45.0,1.5,1.5,-1.0,800.0,400.0,0.8909999999999999
sample_1612,0.0,21.0,-1.0,-1.0,1.5,100.0,2.5,102.0,3.5,104.0,4.5,105.0,300.0,0.5,50.0,9.0,6.0,70,6.5,78.0,1.0,370.0,1.0,17.0,65.0,19.0,45.0,1.5,1.5,-1.0,800.0,400.0,0.902
sample_673,22.0,29.0,-1.0,-1.0,0.0,101.0,1.0,103.0,2.0,104.0,3.0,105.0,200.0,1.0,50.0,9.0,4.0,80,5.0,73.0,1.0,320.0,1.0,7.0,80.0,9.0,45.0,1.5,1.5,1.0,1200.0,420.0,0.983
sample_1958,6.0,29.0,-1.0,-1.0,8.0,102.0,9.0,103.0,10.0,104.0,11.0,105.0,200.0,1.0,50.0,9.0,12.0,80,13.0,73.0,1.0,320.0,1.0,15.0,80.0,17.0,45.0,4.0,-1.0,-1.0,1200.0,440.0,0.93
sample_1046,10.0,22.0,-1.0,-1.0,11.5,100.0,12.5,101.0,13.5,103.0,14.5,105.0,300.0,0.5,90.0,9.0,16.5,70,17.0,78.0,5.5,220.0,2.0,0.0,65.0,5.0,50.0,2.0,-1.0,-1.0,400.0,340.0,0.92
sample_732,6.0,28.0,-1.0,-1.0,8.0,102.0,9.0,104.0,10.0,105.0,11.0,105.0,200.0,1.0,50.0,9.0,12.0,80,13.0,73.0,1.0,320.0,1.0,15.0,80.0,17.0,45.0,4.0,-1.0,-1.0,1200.0,440.0,0.93
sample_355,7.0,38.0,7.166666666666667,80.0,8.5,100.0,9.5,103.0,10.5,103.0,11.5,104.0,300.0,0.5,50.0,9.0,16.5,70,17.0,75.0,0.5,370.0,2.0,3.0,65.0,8.0,45.0,1.5,1.5,-1.0,800.0,400.0,0.9470000000000001
sample_568,8.0,29.0,-1.0,-1.0,10.0,102.0,11.0,103.0,12.0,104.0,13.0,105.0,200.0,1.0,50.0,9.0,14.0,78,15.0,73.0,1.0,320.0,1.0,17.0,80.0,19.0,45.0,1.5,1.5,1.0,1200.0,400.0,0.902
sample_1531,16.666666666666668,41.0,-1.0,-1.0,17.833333333333332,100.0,18.833333333333332,102.0,19.833333333333332,102.0,20.833333333333332,103.0,300.0,0.5,50.0,9.0,0.5,70,1.0,75.0,0.5,360.0,2.0,13.5,65.0,15.5,45.0,1.5,1.5,-1.0,800.0,400.0,0.8909999999999999
sample_949,10.0,23.0,-1.0,-1.0,11.0,100.0,12.0,104.0,13.0,106.0,14.0,107.0,300.0,0.5,50.0,9.0,15.0,70,15.5,76.0,1.0,320.0,1.0,18.0,66.0,20.0,45.0,1.1666666666666667,1.1666666666666667,-1.0,800.0,400.0,0.9129999999999999
sample_1856,22.0,29.0,-1.0,-1.0,0.0,102.0,1.0,103.0,2.0,104.0,3.0,105.0,200.0,1.0,50.0,9.0,4.0,78,5.0,73.0,1.0,320.0,1.0,7.0,80.0,9.0,45.0,1.5,1.5,1.0,1200.0,400.0,0.902
sample_907,6.5,39.0,6.666666666666667,80.0,8.25,100.0,9.25,102.0,10.25,104.0,11.25,102.0,300.0,0.5,50.0,9.0,14.5,70,15.0,75.0,0.5,370.0,2.0,3.0,65.0,8.0,39.0,1.5,1.5,-1.0,800.0,400.0,0.879
sample_225,6.0,29.0,-1.0,-1.0,8.0,102.0,9.0,103.0,10.0,105.0,11.0,107.0,200.0,1.0,50.0,9.0,12.0,79,13.0,72.0,1.0,320.0,1.0,15.0,80.0,17.0,45.0,1.5,1.5,1.0,1200.0,400.0,0.9129999999999999
sample_1175,22.0,29.0,-1.0,-1.0,0.0,101.0,1.0,103.0,2.0,104.0,3.0,105.0,200.0,1.0,50.0,9.0,4.0,80,5.0,73.0,1.0,320.0,1.0,7.0,80.0,9.0,45.0,1.5,1.5,1.0,1200.0,420.0,0.983
sample_219,14.0,30.0,-1.0,-1.0,16.0,100.0,17.0,104.0,18.0,106.0,19.0,107.0,200.0,1.0,50.0,9.0,20.0,80,21.0,73.0,1.0,320.0,1.0,23.0,80.0,1.0,45.0,1.5,1.5,1.0,1200.0,420.0,0.971
sample_17,19.0,23.0,-1.0,-1.0,20.5,100.0,21.5,102.0,22.5,102.0,23.5,103.0,300.0,0.5,50.0,9.0,1.5,70,2.0,77.0,1.0,300.0,1.0,12.0,60.0,16.0,40.0,1.5,1.5,-1.0,800.0,400.0,0.879
sample_1752,6.0,29.0,-1.0,-1.0,8.0,102.0,9.0,103.0,10.0,104.0,11.0,105.0,200.0,1.0,50.0,9.0,12.0,78,13.0,73.0,1.0,320.0,1.0,15.0,79.0,17.0,45.0,1.5,1.5,1.0,1200.0,400.0,0.925
sample_368,1.0,38.0,1.1666666666666667,80.0,2.5,100.0,3.5,103.0,4.5,104.0,5.5,102.0,300.0,0.5,50.0,10.0,11.5,70,12.0,75.0,0.5,370.0,2.5,23.0,55.0,4.0,45.0,1.5,1.5,-1.0,800.0,420.0,0.935
sample_1097,8.0,21.0,-1.0,-1.0,9.5,100.0,10.5,101.0,11.5,103.0,12.5,105.0,300.0,0.5,50.0,9.0,14.5,70,15.0,78.0,1.0,340.0,1.5,0.0,65.0,5.0,45.0,1.5,1.5,-1.0,800.0,440.0,0.9670000000000001
sample_1388,21.0,29.0,-1.0,-1.0,23.0,102.0,0.0,103.0,1.0,104.0,2.0,105.0,200.0,1.0,50.0,9.0,3.0,80,4.0,73.0,1.0,320.0,1.0,6.0,80.0,8.0,45.0,4.0,-1.0,-1.0,1200.0,420.0,0.888
sample_296,17.5,24.0,-1.0,-1.0,19.0,100.0,20.0,102.0,21.0,104.0,22.0,105.0,300.0,0.5,35.0,9.0,1.0,70,1.5,78.0,1.0,300.0,1.0,12.5,60.0,14.5,40.0,1.0,1.5,-1.0,800.0,400.0,0.902
sample_365,21.0,41.0,21.333333333333332,80.0,22.75,100.0,23.75,102.0,0.75,102.0,1.75,104.0,300.0,0.5,50.0,9.0,5.0,70,5.5,75.0,0.5,370.0,2.0,15.5,60.0,19.0,45.0,1.5,1.5,-1.0,800.0,420.0,0.9470000000000001
sample_1753,14.0,30.0,-1.0,-1.0,16.0,100.0,17.0,102.0,18.0,104.0,19.0,106.0,200.0,1.0,50.0,9.0,20.0,80,21.0,73.0,1.0,320.0,1.0,7.0,78.0,9.0,45.0,1.5,1.5,1.0,1200.0,400.0,0.9470000000000001
sample_1747,22.0,29.0,-1.0,-1.0,0.0,101.0,1.0,103.0,2.0,104.0,3.0,105.0,200.0,1.0,50.0,9.0,4.0,80,5.0,73.0,1.0,320.0,1.0,7.0,80.0,9.0,45.0,1.5,1.5,1.5,1200.0,400.0,0.9359999999999999
sample_1289,14.0,27.0,-1.0,-1.0,16.0,102.0,17.0,104.0,18.0,105.0,19.0,106.0,200.0,1.0,50.0,9.0,20.0,80,21.0,73.0,1.0,320.0,1.0,23.0,80.0,0.0,45.0,4.0,-1.0,-1.0,1200.0,460.0,0.998
sample_1552,5.0,32.0,5.5,80.0,7.0,100.0,8.0,103.0,9.0,103.0,10.0,104.0,300.0,0.5,50.0,9.0,11.166666666666666,70,11.666666666666666,75.0,0.5,350.0,2.0,18.5,65.0,1.0,35.0,1.0,1.5,-1.0,800.0,400.0,0.902
sample_717,6.0,30.0,-1.0,-1.0,8.0,102.0,9.0,103.0,10.0,104.0,11.0,104.0,200.0,1.0,50.0,9.0,12.0,78,13.0,76.0,1.0,320.0,1.0,15.0,79.0,17.0,45.0,1.5,1.5,1.0,1200.0,400.0,0.9359999999999999
sample_1950,14.0,30.0,-1.0,-1.0,16.0,102.0,17.0,103.0,18.0,104.0,19.0,105.0,200.0,1.0,50.0,9.0,20.0,80,21.0,73.0,1.0,320.0,1.0,23.0,80.0,1.0,45.0,4.0,-1.0,-1.0,1200.0,440.0,0.93
sample_1786,22.0,29.0,-1.0,-1.0,0.0,102.0,1.0,103.0,2.0,104.0,3.0,105.0,200.0,1.0,50.0,9.0,4.0,80,5.0,73.0,1.0,320.0,1.0,7.0,80.0,9.0,45.0,1.5,1.5,1.0,1200.0,400.0,0.925
sample_1979,6.0,29.0,-1.0,-1.0,8.0,102.0,9.0,103.0,10.0,104.0,11.0,105.0,200.0,1.0,50.0,9.0,12.0,80,13.0,73.0,1.0,320.0,1.0,15.0,80.0,17.0,45.0,1.5,1.5,1.0,1200.0,440.0,0.93
sample_543,4.0,26.0,-1.0,-1.0,5.5,100.0,6.5,102.0,7.5,102.0,8.5,102.0,300.0,0.5,50.0,9.0,9.5,70,10.0,78.0,1.0,340.0,1.5,19.0,65.0,21.0,45.0,1.5,1.5,-1.0,800.0,420.0,0.9470000000000001
sample_995,19.0,26.0,-1.0,-1.0,20.0,100.0,21.0,101.0,22.0,102.0,23.0,103.0,200.0,0.5,50.0,10.0,23.5,70,0.0,77.0,1.0,300.0,1.5,2.5,58.0,4.0,40.0,1.5,1.5,-1.0,800.0,390.0,0.89
sample_1849,6.0,29.0,-1.0,-1.0,8.0,101.0,9.0,103.0,10.0,105.0,11.0,107.0,200.0,1.0,50.0,9.0,12.0,80,13.0,72.0,1.0,320.0,1.0,15.0,80.0,17.0,45.0,1.5,1.5,1.0,1200.0,400.0,0.9129999999999999
sample_814,21.0,29.0,-1.0,-1.0,23.0,102.0,0.0,103.0,1.0,104.0,2.0,105.0,200.0,1.0,50.0,9.0,3.0,80,4.0,73.0,1.0,320.0,1.0,6.0,80.0,8.0,45.0,3.0,-1.0,-1.0,1200.0,440.0,0.93
sample_553,2.0,27.0,-1.0,-1.0,3.5,100.0,4.5,101.0,5.5,103.0,6.5,102.0,300.0,0.5,50.0,10.0,8.0,70,8.5,78.0,1.0,340.0,1.5,19.0,65.0,21.0,50.0,1.5,1.5,-1.0,800.0,440.0,0.9670000000000001
sample_363,8.75,38.0,9.0,80.0,10.5,100.0,11.5,103.0,12.5,104.0,13.5,102.0,300.0,0.5,50.0,10.0,14.5,70,15.0,75.0,0.5,370.0,2.0,22.0,50.0,23.0,39.0,1.5,1.5,-1.0,800.0,420.0,0.9470000000000001
sample_550,21.5,21.0,-1.0,-1.0,23.0,100.0,0.0,102.0,1.0,102.0,2.0,102.0,300.0,0.5,50.0,10.0,5.0,70,5.5,78.0,1.0,350.0,1.5,15.5,65.0,19.0,45.0,1.5,1.5,-1.0,800.0,420.0,0.9470000000000001
sample_43,3.5,21.0,-1.0,-1.0,4.5,100.0,5.5,102.0,6.5,103.0,7.5,104.0,300.0,0.5,40.0,9.0,11.5,70,12.0,78.0,1.0,300.0,1.5,21.5,60.0,2.0,40.0,1.5,1.5,-1.0,800.0,400.0,0.902
sample_1065,22.5,21.0,-1.0,-1.0,0.0,100.0,1.0,101.0,2.0,102.0,3.0,102.0,300.0,0.5,50.0,10.0,6.5,70,7.0,78.0,1.0,340.0,1.0,16.5,65.0,19.0,45.0,1.5,1.5,-1.0,800.0,420.0,0.935
sample_1151,8.0,29.0,-1.0,-1.0,10.0,101.0,11.0,103.0,12.0,104.0,13.0,105.0,200.0,1.0,50.0,9.0,14.0,80,15.0,73.0,1.0,320.0,1.0,17.0,80.0,19.0,45.0,1.5,1.5,1.0,1200.0,400.0,0.902
sample_763,6.0,30.0,-1.0,-1.0,8.0,103.0,9.0,104.0,10.0,105.0,11.0,106.0,200.0,1.0,50.0,9.0,12.0,80,13.0,73.0,1.0,310.0,1.0,15.0,80.0,17.0,45.0,3.5,-1.0,-1.0,1200.0,440.0,0.93
sample_1468,2.0,80.0,-1.0,-1.0,4.0,100.0,5.0,102.0,6.0,103.0,7.0,103.0,300.0,0.5,50.0,9.0,8.0,70,8.5,75.0,0.5,350.0,2.0,16.5,60.0,20.0,45.0,1.5,1.5,-1.0,800.0,400.0,0.879
sample_653,6.0,29.0,-1.0,-1.0,8.0,102.0,9.0,103.0,10.0,105.0,11.0,104.0,200.0,1.0,50.0,9.0,12.0,79,13.0,76.0,1.0,320.0,1.0,15.0,75.0,17.0,45.0,1.5,1.5,1.0,1200.0,400.0,0.9359999999999999
sample_536,6.0,24.0,-1.0,-1.0,7.5,100.0,8.5,102.0,9.5,104.0,10.5,105.0,300.0,0.5,50.0,9.0,14.0,70,14.5,78.0,1.0,340.0,1.5,1.0,65.0,5.0,45.0,1.5,1.5,-1.0,800.0,400.0,0.879
sample_1822,22.0,29.0,-1.0,-1.0,0.0,102.0,1.0,103.0,2.0,104.0,3.0,105.0,200.0,1.0,50.0,9.0,4.0,78,5.0,73.0,1.0,320.0,1.0,7.0,80.0,9.0,45.0,1.5,1.5,1.0,1200.0,400.0,0.925
sample_1567,4.0,37.0,4.5,80.0,6.0,100.0,7.0,102.0,8.0,103.0,9.0,102.0,300.0,0.5,50.0,10.0,11.5,70,12.0,75.0,0.5,330.0,2.0,22.0,65.0,1.0,45.0,1.5,1.5,-1.0,800.0,390.0,0.89
sample_1947,14.0,30.0,-1.0,-1.0,16.0,102.0,17.0,104.0,18.0,105.0,19.0,106.0,200.0,1.0,50.0,9.0,20.0,80,21.0,73.0,1.0,320.0,1.0,23.0,80.0,1.0,45.0,4.0,-1.0,-1.0,1200.0,440.0,0.93
sample_643,22.0,29.0,-1.0,-1.0,0.0,102.0,1.0,103.0,2.0,104.0,3.0,105.0,200.0,1.0,50.0,9.0,4.0,78,5.0,73.0,1.0,320.0,1.0,7.0,80.0,9.0,45.0,1.5,1.5,14.0,1200.0,420.0,0.983
sample_765,22.0,29.0,-1.0,-1.0,0.0,100.0,1.0,101.0,2.0,103.0,3.0,105.0,200.0,1.0,50.0,9.0,4.0,80,5.0,73.0,1.0,320.0,1.0,7.0,80.0,9.0,45.0,2.0,-1.0,-1.0,1200.0,440.0,0.955
sample_555,1.0,29.0,-1.0,-1.0,3.0,101.0,4.0,103.0,5.0,104.0,6.0,105.0,200.0,1.0,50.0,9.0,7.0,80,8.0,73.0,1.0,320.0,1.0,10.0,80.0,12.0,45.0,1.5,1.5,1.0,1200.0,420.0,0.9470000000000001
sample_158,22.0,26.0,-1.0,-1.0,0.0,102.0,1.0,103.0,2.0,104.0,3.0,105.0,200.0,1.0,50.0,9.0,4.0,79,5.0,76.0,1.0,320.0,1.0,7.0,75.0,9.0,45.0,1.5,1.5,1.0,1200.0,420.0,0.971
sample_528,1.0,24.0,-1.0,-1.0,2.5,100.0,3.5,101.0,4.5,102.0,5.5,102.0,300.0,0.5,50.0,10.0,7.0,70,7.5,78.0,1.0,340.0,1.0,19.0,65.0,23.0,45.0,1.5,1.5,-1.0,800.0,420.0,0.935
sample_650,6.0,29.0,-1.0,-1.0,8.0,100.0,9.0,103.0,10.0,104.0,11.0,105.0,200.0,1.0,50.0,9.0,12.0,80,13.0,73.0,1.0,320.0,1.0,15.0,80.0,17.0,45.0,1.5,1.5,1.0,1200.0,400.0,0.9470000000000001
sample_310,8.0,19.0,-1.0,-1.0,8.5,100.0,9.5,103.0,10.5,103.0,11.5,103.0,300.0,0.5,40.0,10.0,15.5,70,16.0,78.0,1.0,300.0,1.0,1.0,60.0,3.5,45.0,1.5,1.5,-1.0,800.0,390.0,0.89
sample_1312,14.0,30.0,-1.0,-1.0,16.0,102.0,17.0,103.0,18.0,104.0,19.0,105.0,200.0,1.0,50.0,9.0,20.0,80,21.0,73.0,1.0,320.0,1.0,23.0,80.0,1.0,45.0,4.0,-1.0,-1.0,1200.0,460.0,0.973
sample_705,6.0,29.0,-1.0,-1.0,8.0,102.0,9.0,104.0,10.0,103.0,11.0,105.0,200.0,1.0,50.0,9.0,12.0,79,13.0,78.0,1.0,320.0,1.0,15.0,78.0,17.0,45.0,1.5,1.5,1.5,1200.0,400.0,0.925
sample_594,19.5,22.0,-1.0,-1.0,21.0,100.0,22.0,101.0,23.0,103.0,0.0,104.0,200.0,1.0,50.0,9.0,1.1666666666666667,80,1.6666666666666667,70.0,1.3333333333333333,340.0,1.0,4.0,70.0,7.0,40.0,1.5,1.0,-1.0,800.0,400.0,0.902
