样本id,A5,A6,A7,A8,A9,A10,A11,A12,A14,A15,A16,A17,A19,A20,A21,A22,A24,A25,A26,A27,A28,B1,B4,B5,B6,B7,B8,B9,B10,B11,B12,B14
sample_1750,22.0,29.0,-1.0,-1.0,0.0,100,1.0,102.0,2.0,104.0,3.0,106.0,200,1.0,50.0,9.0,4.0,80.0,5.0,73.0,1.0,320.0,1.0,7.0,78,9.0,45.0,1.5,1.5,1.5,1200.0,400
sample_1977,14.0,30.0,-1.0,-1.0,16.0,102,17.0,103.0,18.0,104.0,19.0,105.0,200,1.0,50.0,9.0,20.0,80.0,21.0,73.0,1.0,320.0,1.0,23.0,80,1.0,45.0,1.5,1.5,1.0,1200.0,440
sample_1830,14.0,30.0,-1.0,-1.0,16.0,101,17.0,104.0,18.0,106.0,19.0,107.0,200,1.0,50.0,9.0,20.0,78.0,21.0,73.0,1.0,320.0,1.0,23.0,80,1.0,45.0,1.5,1.5,1.0,1200.0,420
sample_818,6.0,27.0,-1.0,-1.0,8.0,102,9.0,103.0,10.0,104.0,11.0,105.0,200,1.0,50.0,9.0,12.0,80.0,13.0,73.0,1.0,320.0,1.0,15.0,80,17.0,45.0,4.0,-1.0,-1.0,1200.0,440
sample_881,21.5,40.0,21.75,80.0,23.333333333333332,100,0.3333333333333333,102.0,1.3333333333333333,102.0,2.3333333333333335,104.0,300,0.5,50.0,9.0,5.0,70.0,5.5,75.0,0.5,300.0,1.5,18.0,60,20.5,45.0,2.0,2.0,-1.0,800.0,400
sample_77,14.0,30.0,-1.0,-1.0,16.0,101,17.0,102.0,18.0,104.0,19.0,105.0,200,1.0,50.0,9.0,20.0,78.0,21.0,73.0,1.0,320.0,1.0,23.0,80,1.0,45.0,1.5,1.5,1.0,1200.0,400
sample_1240,14.0,29.0,-1.0,-1.0,16.0,102,17.0,103.0,18.0,104.0,19.0,105.0,200,1.0,50.0,9.0,20.0,78.0,21.0,73.0,1.0,320.0,1.0,7.0,80,9.0,45.0,1.5,1.5,1.0,1200.0,420
sample_309,0.0,21.0,-1.0,-1.0,1.5,100,2.5,101.0,3.5,103.0,4.5,105.0,300,0.5,40.0,9.0,7.0,70.0,7.5,78.0,1.0,300.0,1.5,16.5,65,19.0,40.0,1.5,1.5,-1.0,800.0,390
sample_90,22.0,30.0,-1.0,-1.0,0.0,100,1.0,103.0,2.0,105.0,3.0,106.0,200,1.0,50.0,9.0,4.0,80.0,5.0,73.0,1.0,320.0,1.0,7.0,78,9.0,45.0,1.5,1.5,1.0,1200.0,420
sample_1447,8.0,22.0,-1.0,-1.0,9.0,100,10.0,102.0,11.0,102.0,12.0,103.0,300,0.5,40.0,9.0,16.0,70.0,16.5,78.0,1.0,300.0,1.5,1.5,60,4.5,40.0,1.5,1.8333333333333333,-1.0,800.0,400
sample_1584,2.0,20.0,-1.0,-1.0,3.0,100,4.0,105.0,5.0,107.0,6.0,107.0,300,0.5,50.0,9.0,7.0,70.0,7.5,76.0,1.0,350.0,1.0,9.5,70,11.5,45.0,1.3333333333333333,1.3333333333333333,-1.0,800.0,400
sample_23,5.0,24.0,-1.0,-1.0,6.5,100,7.5,104.2,8.5,103.9,9.5,103.6,300,0.5,35.0,9.0,12.5,70.0,13.0,78.0,1.0,320.0,1.0,20.5,60,2.0,40.0,1.5,1.5,-1.0,800.0,400
sample_1188,6.0,29.0,-1.0,-1.0,8.0,102,9.0,103.0,10.0,104.0,11.0,105.0,200,1.0,50.0,9.0,12.0,80.0,13.0,73.0,1.0,320.0,1.0,15.0,80,17.0,45.0,1.5,1.5,1.0,1200.0,400
sample_1461,10.75,65.0,-1.0,-1.0,14.0,101,15.0,104.0,16.0,103.0,17.0,104.0,300,0.5,50.0,9.0,17.5,70.0,18.0,75.0,0.5,350.0,1.0,0.5,65,3.0,45.0,1.5,2.0,-1.0,800.0,400
sample_1691,22.0,29.0,-1.0,-1.0,0.0,102,1.0,103.0,2.0,104.0,3.0,105.0,200,1.0,50.0,9.0,4.0,78.0,5.0,73.0,1.0,320.0,1.0,7.0,80,9.0,45.0,1.5,1.5,1.0,1200.0,400
sample_316,16.0,32.0,16.333333333333332,80.0,18.166666666666668,100,19.166666666666668,102.0,20.166666666666668,103.0,21.166666666666668,102.0,300,0.5,50.0,9.0,2.0,70.0,2.5,75.0,0.5,300.0,2.0,13.0,50,17.0,28.0,1.0,1.5,-1.0,800.0,785
sample_299,22.5,24.0,-1.0,-1.0,0.0,100,1.0,102.0,2.0,102.0,3.0,102.0,300,0.5,40.0,9.0,4.5,70.0,5.0,78.0,1.0,310.0,1.0,17.0,60,19.0,40.0,1.5,1.5,-1.0,800.0,400
sample_459,13.0,29.0,-1.0,-1.0,14.0,102,15.0,103.0,16.0,103.0,17.0,104.0,200,0.5,50.0,9.0,18.5,70.0,19.0,78.0,1.0,300.0,1.5,21.5,60,23.0,36.0,1.5,1.5,-1.0,800.0,400
sample_462,16.0,21.0,-1.0,-1.0,17.0,100,18.5,101.0,19.5,103.0,20.5,105.0,200,0.5,50.0,10.0,21.0,70.0,21.5,77.0,1.0,300.0,3.5,2.0,60,8.0,40.0,1.8333333333333333,1.0,-1.0,800.0,400
sample_1730,6.0,29.0,-1.0,-1.0,8.0,101,9.0,102.0,10.0,103.0,11.0,103.0,200,1.0,50.0,9.0,12.0,78.0,13.0,73.0,1.0,320.0,1.0,15.0,80,17.0,45.0,1.5,1.5,1.0,1200.0,420
sample_689,14.0,30.0,-1.0,-1.0,16.0,101,17.0,103.0,18.0,105.0,19.0,107.0,200,1.0,50.0,9.0,20.0,78.0,21.0,73.0,1.0,320.0,1.0,23.0,80,1.0,45.0,1.5,1.5,1.0,1200.0,420
sample_1943,6.0,30.0,-1.0,-1.0,8.0,103,9.0,104.0,10.0,105.0,11.0,106.0,200,1.0,50.0,9.0,12.0,80.0,13.0,73.0,1.0,320.0,1.0,15.0,80,17.0,45.0,4.0,-1.0,-1.0,1200.0,440
sample_1043,8.0,26.0,-1.0,-1.0,9.5,100,10.5,103.0,11.5,102.0,12.5,103.0,300,0.5,25.0,10.0,13.5,70.0,14.0,78.0,1.0,190.0,1.5,16.5,63,19.0,45.0,2.0,-1.0,-1.0,400.0,280
sample_919,18.0,38.0,18.166666666666668,80.0,11.833333333333334,100,20.833333333333332,104.0,21.833333333333332,102.0,22.833333333333332,104.0,300,0.5,50.0,9.0,0.5,70.0,1.0,75.0,0.5,370.0,2.0,13.0,52,14.5,45.0,1.5,1.5,-1.0,800.0,400
sample_1104,18.0,29.0,-1.0,-1.0,20.0,101,21.0,103.0,22.0,104.0,23.0,105.0,200,1.0,50.0,9.0,0.0,80.0,1.0,73.0,1.0,320.0,1.0,2.0,80,4.0,45.0,1.5,1.5,1.0,1200.0,400
sample_348,13.0,39.0,13.25,81.0,15.0,100,16.0,103.0,17.0,104.0,18.0,103.0,300,0.5,50.0,9.0,19.0,70.0,20.0,75.0,0.5,370.0,1.0,6.0,49,10.0,35.0,1.5,1.5,-1.0,800.0,400
sample_123,5.0,21.0,-1.0,-1.0,6.5,100,7.5,102.0,8.5,103.0,9.5,107.0,200,1.0,50.0,9.0,11.0,-1,11.5,-1.0,1.0,380.0,1.0,13.5,70,15.5,50.0,1.5,1.5,-1.0,800.0,400
sample_1645,14.0,29.0,-1.0,-1.0,16.0,102,17.0,103.0,18.0,104.0,19.0,105.0,200,1.0,50.0,9.0,20.0,80.0,21.0,73.0,1.0,320.0,1.0,23.0,80,1.0,45.0,1.5,1.5,1.0,1200.0,400
sample_1522,9.0,60.0,-1.0,-1.0,11.0,101,12.0,102.0,13.0,102.0,14.0,103.0,300,0.5,50.0,10.0,14.5,70.0,15.0,75.0,1.0,350.0,2.0,2.0,60,4.0,45.0,1.5,2.5,-1.0,800.0,390
sample_1874,6.0,29.0,-1.0,-1.0,8.0,102,9.0,103.0,10.0,105.0,11.0,107.0,200,1.0,50.0,9.0,12.0,79.0,13.0,73.0,1.0,320.0,1.0,15.0,80,17.0,45.0,1.5,1.5,1.0,1200.0,400
sample_295,9.0,24.0,-1.0,-1.0,10.5,100,11.5,102.0,12.5,103.0,13.5,105.0,300,0.5,40.0,10.0,17.0,70.0,17.5,78.0,1.0,320.0,1.0,1.0,65,3.0,40.0,1.5,1.5,-1.0,800.0,400
sample_954,2.0,23.0,-1.0,-1.0,3.0,100,4.0,104.0,5.0,106.0,6.0,108.0,300,0.5,50.0,10.0,7.0,70.0,7.5,80.0,1.0,-1.0,1.0,10.0,67,12.0,46.0,1.0,1.1666666666666667,-1.0,900.0,400
sample_1529,22.0,38.0,-1.0,-1.0,23.5,101,0.5,103.0,1.5,102.0,2.5,104.0,300,0.5,50.0,9.0,8.0,70.0,8.5,75.0,0.5,350.0,2.0,16.5,65,19.5,45.0,2.0,2.0,-1.0,800.0,400
sample_722,22.0,27.0,-1.0,-1.0,23.5,102,0.5,104.0,1.5,105.0,2.5,106.0,200,1.0,50.0,9.0,3.5,80.0,4.5,73.0,1.0,320.0,1.0,6.5,80,8.0,45.0,4.0,-1.0,-1.0,1200.0,440
sample_1703,6.0,29.0,-1.0,-1.0,8.0,101,9.0,103.0,10.0,104.0,11.0,105.0,200,1.0,50.0,9.0,12.0,80.0,13.0,73.0,1.0,320.0,1.0,15.0,80,17.0,45.0,1.5,1.5,1.0,1200.0,400
sample_1524,4.0,21.0,-1.0,-1.0,5.0,100,6.0,102.0,7.0,103.0,8.0,105.0,300,0.5,50.0,9.0,1.0,70.0,1.5,70.0,0.5,360.0,2.0,18.5,65,23.0,45.0,1.5,1.5,-1.0,800.0,400
sample_125,16.5,21.0,-1.0,-1.0,18.0,100,19.0,103.0,20.0,105.0,21.0,108.0,200,1.0,50.0,9.0,22.5,71.0,23.0,79.0,1.0,380.0,1.0,1.0,76,3.0,48.0,1.5,1.5,-1.0,800.0,420
sample_1922,6.0,27.0,-1.0,-1.0,8.0,102,9.0,103.0,10.0,104.0,11.0,105.0,200,1.0,50.0,9.0,12.0,80.0,13.0,73.0,1.0,320.0,1.0,15.0,80,17.0,45.0,4.0,-1.0,-1.0,1200.0,440
sample_1186,14.0,29.0,-1.0,-1.0,16.0,101,17.0,102.0,18.0,103.0,19.0,105.0,200,1.0,50.0,9.0,20.0,80.0,21.0,73.0,1.0,320.0,1.0,23.0,78,1.0,45.0,1.5,1.5,1.0,1200.0,400
sample_938,7.5,38.0,7.666666666666667,80.0,9.0,100,10.0,102.0,11.0,104.0,12.0,104.0,300,0.5,50.0,10.0,16.5,70.0,17.0,75.0,0.5,370.0,2.0,3.0,60,8.0,40.0,1.5,1.5,-1.0,800.0,440
sample_1744,22.0,29.0,-1.0,-1.0,0.0,102,1.0,103.0,2.0,104.0,3.0,105.0,200,1.0,50.0,9.0,4.0,78.0,5.0,73.0,1.0,320.0,1.0,7.0,80,9.0,45.0,1.5,1.5,1.0,1200.0,400
sample_936,13.0,38.0,13.166666666666666,80.0,14.5,100,15.5,102.0,16.5,102.0,17.5,102.0,300,0.5,50.0,9.0,21.5,70.0,22.0,75.0,0.5,370.0,1.5,8.0,40,13.0,20.0,1.5,1.5,-1.0,800.0,420
sample_1973,6.0,30.0,-1.0,-1.0,8.0,102,9.0,104.0,10.0,105.0,11.0,106.0,200,1.0,50.0,9.0,12.0,80.0,13.0,73.0,1.0,320.0,1.0,15.0,80,17.0,45.0,1.5,1.5,1.0,1200.0,440
sample_157,14.0,26.0,-1.0,-1.0,16.0,102,17.0,102.0,18.0,103.0,19.0,105.0,200,1.0,50.0,9.0,20.0,80.0,21.0,73.0,1.0,320.0,1.0,23.0,75,1.0,45.0,1.5,1.5,1.0,1200.0,400
sample_1003,23.0,40.0,-1.0,-1.0,0.0,100,1.0,102.0,2.0,101.0,3.0,103.0,200,0.5,50.0,9.0,4.0,70.0,4.5,77.0,0.5,290.0,1.5,6.5,60,8.0,40.0,1.5,1.5,-1.0,800.0,400
sample_1407,8.0,19.0,-1.0,-1.0,8.5,100,9.5,102.0,10.5,102.0,11.5,102.0,300,0.5,40.0,9.0,14.5,70.0,15.0,78.0,1.0,300.0,1.0,1.0,65,4.0,40.0,3.5,1.5,-1.0,800.0,420
sample_1057,23.0,24.0,-1.0,-1.0,0.5,100,1.5,101.0,2.5,103.0,3.5,103.0,300,1.0,50.0,10.0,5.5,70.0,6.0,78.0,1.0,340.0,1.0,12.5,65,15.0,45.0,3.5,1.5,-1.0,800.0,440
sample_1783,22.0,29.0,-1.0,-1.0,0.0,101,1.0,103.0,2.0,104.0,3.0,105.0,200,1.0,50.0,9.0,4.0,80.0,5.0,73.0,1.0,320.0,1.0,7.0,80,9.0,45.0,1.5,1.5,1.0,1200.0,400
sample_48,7.0,24.0,-1.0,-1.0,8.0,100,9.0,101.0,10.0,101.0,11.0,102.0,300,0.5,50.0,10.0,12.5,70.0,13.0,78.0,1.0,300.0,1.5,20.0,60,23.0,40.0,2.0,1.5,-1.0,800.0,420
sample_263,14.0,29.0,-1.0,-1.0,16.0,102,17.0,103.0,18.0,104.0,19.0,105.0,200,1.0,50.0,9.0,20.0,80.0,21.0,73.0,1.0,320.0,1.0,23.0,80,1.0,45.0,4.0,-1.0,-1.0,1200.0,460
sample_678,6.0,30.0,-1.0,-1.0,8.0,101,9.0,103.0,10.0,104.0,11.0,105.0,200,1.0,50.0,9.0,12.0,80.0,13.0,73.0,1.0,320.0,1.0,15.0,78,17.0,45.0,1.5,1.5,1.0,1200.0,400
sample_882,6.0,39.0,6.25,80.0,8.0,100,9.0,103.0,10.0,102.0,11.0,102.0,300,0.5,50.0,9.0,17.0,70.0,17.5,75.0,0.5,300.0,2.0,3.0,65,5.5,45.0,2.0,1.0,-1.0,800.0,400
sample_1688,22.0,29.0,-1.0,-1.0,0.0,101,1.0,103.0,2.0,105.0,3.0,107.0,200,1.0,50.0,9.0,4.0,78.0,5.0,74.0,1.0,320.0,1.0,7.0,80,9.0,45.0,1.5,1.5,1.0,1200.0,400
sample_1361,6.0,30.0,-1.0,-1.0,8.0,102,9.0,103.0,10.0,104.0,11.0,105.0,200,1.0,50.0,9.0,12.0,80.0,13.0,73.0,1.0,320.0,1.0,15.0,80,17.0,45.0,4.0,-1.0,-1.0,1200.0,440
sample_1802,6.0,29.0,-1.0,-1.0,8.0,101,9.0,103.0,10.0,105.0,11.0,107.0,200,1.0,50.0,9.0,12.0,80.0,13.0,74.0,1.0,320.0,1.0,15.0,80,17.0,45.0,1.5,1.5,1.0,1200.0,400
sample_250,6.0,30.0,-1.0,-1.0,8.0,102,9.0,103.0,10.0,104.0,11.0,105.0,200,1.0,50.0,9.0,12.0,80.0,13.0,45.0,1.0,320.0,1.0,15.0,80,17.0,45.0,4.0,-1.0,-1.0,1200.0,440
sample_323,12.5,35.0,12.666666666666666,80.0,14.333333333333334,100,15.333333333333334,102.0,16.333333333333332,104.0,17.333333333333332,102.0,300,0.5,50.0,10.0,20.0,70.0,20.5,75.0,1.0,300.0,1.0,8.0,65,10.0,45.0,2.0,2.0,-1.0,800.0,400
sample_1514,8.0,21.0,-1.0,-1.0,9.5,100,10.5,101.0,11.5,102.0,12.5,103.0,300,0.3333333333333333,50.0,10.0,13.0,70.0,13.5,75.0,1.0,350.0,1.0,23.0,65,2.0,45.0,1.5,1.5,-1.0,800.0,400
sample_1545,8.0,38.0,8.25,80.0,10.166666666666666,100,11.166666666666666,101.0,12.166666666666666,102.0,13.166666666666666,102.0,300,1.5,50.0,10.0,14.166666666666666,70.0,14.666666666666666,75.0,0.5,350.0,2.0,0.0,65,8.0,45.0,1.5,1.5,-1.0,800.0,400
sample_830,6.0,30.0,-1.0,-1.0,8.0,102,9.0,104.0,10.0,105.0,11.0,106.0,200,1.0,50.0,9.0,12.0,80.0,13.0,73.0,1.0,320.0,1.0,15.0,80,17.0,45.0,4.0,-1.0,-1.0,1200.0,440
sample_1757,14.0,29.0,-1.0,-1.0,16.0,100,17.0,103.0,18.0,104.0,19.0,106.0,200,1.0,50.0,9.0,20.0,78.0,21.0,73.0,1.0,320.0,1.0,7.0,78,9.0,45.0,1.5,1.5,1.0,1200.0,420
sample_917,7.0,38.0,7.166666666666667,80.0,8.5,100,9.5,104.0,10.5,103.0,11.5,102.0,300,0.5,50.0,10.0,13.0,70.0,13.5,75.0,0.5,370.0,2.0,16.5,65,21.0,27.0,1.5,1.5,-1.0,800.0,420
sample_1728,14.0,30.0,-1.0,-1.0,16.0,102,17.0,103.0,18.0,105.0,19.0,107.0,200,1.0,50.0,9.0,20.0,80.0,21.0,73.0,1.0,320.0,1.0,23.0,80,1.0,45.0,1.5,1.5,1.5,1200.0,400
sample_352,2.0,38.0,2.1666666666666665,81.0,4.0,100,5.0,103.0,6.0,104.0,7.0,105.0,300,0.5,50.0,9.0,12.5,70.0,13.0,75.0,0.5,370.0,2.0,22.0,65,2.5,45.0,1.5,1.5,-1.0,800.0,400
sample_1229,0.0,29.0,-1.0,-1.0,0.0,101,1.0,103.0,2.0,104.0,3.0,105.0,200,1.0,50.0,9.0,4.0,80.0,5.0,73.0,1.0,320.0,1.0,7.0,80,9.0,45.0,1.5,1.5,1.0,1200.0,420
sample_619,14.0,29.0,-1.0,-1.0,16.0,102,17.0,103.0,18.0,104.0,19.0,105.0,200,1.0,50.0,9.0,20.0,79.0,21.0,73.0,1.0,320.0,1.0,23.0,80,1.0,45.0,1.5,1.5,1.0,1200.0,400
sample_1138,1.0,29.0,-1.0,-1.0,3.0,101,4.0,103.0,5.0,104.0,6.0,105.0,200,1.0,50.0,9.0,7.0,80.0,8.0,73.0,1.0,320.0,1.0,10.0,80,12.0,45.0,1.5,1.5,1.0,1200.0,420
sample_687,22.0,29.0,-1.0,-1.0,0.0,101,1.0,103.0,2.0,104.0,3.0,105.0,200,1.0,50.0,9.0,4.0,80.0,5.0,73.0,1.0,320.0,1.0,7.0,80,9.0,45.0,1.5,1.5,1.0,1200.0,400
sample_966,0.0,21.0,-1.0,-1.0,1.5,100,2.5,101.0,3.5,103.0,4.5,105.0,310,0.3333333333333333,25.0,9.0,5.5,70.0,6.0,78.0,0.6666666666666666,300.0,1.0,7.666666666666667,65,12.0,46.0,1.5,1.1666666666666667,-1.0,800.0,400
sample_537,17.0,21.0,-1.0,-1.0,18.5,100,19.5,102.0,20.5,104.0,21.5,105.0,300,1.5,50.0,9.0,23.0,70.0,23.5,78.0,1.0,340.0,1.5,10.5,65,15.0,45.0,1.5,1.5,-1.0,800.0,400
sample_867,7.0,23.0,-1.0,-1.0,8.5,100,9.5,104.0,10.5,105.0,11.5,105.0,300,0.5,40.0,9.0,16.5,70.0,17.0,78.0,1.0,300.0,1.5,1.5,65,4.0,40.0,1.5,1.5,-1.0,800.0,400
sample_928,6.5,30.0,6.666666666666667,80.0,8.0,100,9.0,102.0,10.0,102.0,11.0,103.0,300,0.5,50.0,10.0,14.5,70.0,15.0,75.0,0.5,370.0,2.0,3.0,65,8.0,39.0,1.5,1.5,-1.0,800.0,440
sample_520,12.0,21.0,-1.0,-1.0,13.5,100,14.5,102.0,15.5,104.0,16.5,105.0,300,0.5,50.0,9.0,18.0,70.0,18.5,78.0,0.5,340.0,1.0,20.0,65,22.0,45.0,1.5,1.5,-1.0,800.0,420
sample_1338,6.0,29.0,-1.0,-1.0,8.0,103,9.0,103.0,10.0,104.0,11.0,105.0,200,1.0,50.0,9.0,12.0,80.0,23.0,73.0,1.0,320.0,1.0,15.0,80,17.0,45.0,4.0,-1.0,-1.0,1200.0,440
sample_988,22.0,21.0,-1.0,-1.0,23.0,100,0.0,104.0,1.0,105.0,2.0,107.0,300,0.5,50.0,9.0,3.0,70.0,3.5,77.0,1.0,290.0,1.0,5.5,67,7.5,45.0,1.6666666666666667,1.1666666666666667,-1.0,900.0,400
sample_899,2.0,39.0,2.1666666666666665,80.0,3.5,100,4.5,103.0,5.5,104.0,6.5,104.0,300,0.5,50.0,9.0,12.0,70.0,12.5,75.0,0.5,360.0,2.0,22.0,65,2.5,45.0,1.5,1.5,-1.0,800.0,400
sample_15,21.0,24.0,-1.0,-1.0,22.5,100,23.5,102.0,0.5,102.0,1.5,104.0,300,0.5,40.0,10.0,6.5,70.0,7.0,78.0,1.0,310.0,1.0,17.0,60,20.5,45.0,1.5,1.0,-1.0,800.0,420
sample_1412,6.5,21.0,-1.0,-1.0,7.5,100,8.5,102.0,9.166666666666666,103.0,10.5,104.0,300,0.5,35.0,9.0,16.0,70.0,16.5,78.0,1.0,320.0,1.0,1.0,60,4.5,40.0,1.5,1.5,-1.0,800.0,420
sample_1915,14.0,30.0,-1.0,-1.0,16.0,100,17.0,103.0,18.0,105.0,19.0,107.0,200,1.0,50.0,9.0,20.0,78.0,21.0,73.0,1.0,320.0,1.0,23.0,80,1.0,45.0,1.5,1.5,1.0,1200.0,420
sample_1885,6.0,29.0,-1.0,-1.0,8.0,102,9.0,103.0,10.0,104.0,11.0,105.0,200,1.0,50.0,9.0,12.0,80.0,13.0,73.0,1.0,320.0,1.0,15.0,80,17.0,45.0,1.5,1.5,1.0,1200.0,420
sample_1893,22.0,30.0,-1.0,-1.0,0.0,101,1.0,103.0,2.0,105.0,3.0,106.0,200,1.0,50.0,9.0,4.0,80.0,5.0,73.0,1.0,320.0,1.0,7.0,79,9.0,45.0,1.5,1.5,1.0,1200.0,400
sample_688,6.0,29.0,-1.0,-1.0,8.0,101,9.0,103.0,10.0,104.0,11.0,105.0,200,1.0,50.0,9.0,12.0,80.0,13.0,73.0,1.0,320.0,1.0,15.0,80,17.0,45.0,1.5,1.5,1.0,1200.0,400
sample_1664,22.0,29.0,-1.0,-1.0,0.0,101,1.0,103.0,2.0,104.0,3.0,105.0,200,1.0,50.0,9.0,4.0,80.0,5.0,73.0,1.0,320.0,1.0,7.0,80,9.0,45.0,1.5,1.5,1.0,1200.0,420
