样本id,A5,A6,A7,A8,A9,A10,A11,A12,A14,A15,A16,A17,A19,A20,A21,A22,A24,A25,A26,A27,A28,B1,B4,B5,B6,B7,B8,B9,B10,B11,B12,B14,收率
1743,14.0,29.0,-1.0,-1.0,16.0,101,17.0,103.0,18.0,104.0,19.0,105.0,200,1.0,50.0,9.0,20.0,78.0,21.0,73.0,1.0,320.0,1.0,23.0,78,1.0,45.0,1.5,1.5,1.5,1200.0,400,0.9359999999999999
1493,21.0,37.0,21.333333333333332,80.0,23.0,100,0.0,102.0,1.0,104.0,2.0,103.0,300,0.5,50.0,9.0,4.5,75.0,5.0,70.0,0.5,360.0,2.0,15.5,65,21.0,30.0,1.5,1.5,-1.0,800.0,400,0.8909999999999999
1613,11.0,33.0,-1.0,-1.0,12.5,100,13.5,101.0,14.5,103.0,15.5,105.0,300,1.5,50.0,9.0,18.0,70.0,18.5,78.0,1.0,360.0,1.5,0.5,65,4.0,50.0,1.5,1.5,-1.0,800.0,400,0.8909999999999999
621,6.0,29.0,-1.0,-1.0,8.0,102,9.0,102.0,10.0,105.0,11.0,104.0,200,1.0,50.0,9.0,12.0,78.0,13.0,76.0,1.0,320.0,0.5,15.0,74,17.0,45.0,1.5,1.5,1.0,1200.0,400,0.9470000000000001
1269,6.0,29.0,-1.0,-1.0,8.0,101,9.0,103.0,10.0,104.0,11.0,105.0,200,1.0,50.0,9.0,12.0,80.0,13.0,73.0,1.0,320.0,1.0,15.0,80,17.0,45.0,1.5,1.5,1.0,1200.0,400,0.925
1037,21.0,21.0,-1.0,-1.0,22.5,100,23.5,102.0,0.5,104.0,1.5,105.0,200,0.5,50.0,9.0,3.0,70.0,3.5,78.0,1.0,300.0,1.5,10.0,65,13.0,45.0,1.5,1.5,-1.0,800.0,400,0.902
1736,6.0,29.0,-1.0,-1.0,8.0,102,9.0,103.0,10.0,105.0,11.0,107.0,200,1.0,50.0,9.0,12.0,80.0,13.0,72.0,1.0,320.0,1.0,15.0,80,17.0,45.0,1.5,1.5,1.0,1200.0,420,0.971
97,16.0,29.0,-1.0,-1.0,18.0,102,19.0,104.0,20.0,105.0,21.0,106.0,200,1.0,50.0,9.0,22.0,80.0,23.0,73.0,1.0,320.0,1.0,1.0,80,21.0,45.0,1.5,1.5,1.0,1200.0,400,0.902
642,14.0,29.0,-1.0,-1.0,16.0,101,17.0,103.0,18.0,104.0,19.0,105.0,200,1.0,50.0,9.0,20.0,80.0,21.0,73.0,1.0,320.0,1.0,23.0,80,1.0,45.0,1.5,1.5,1.0,1200.0,400,0.9129999999999999
179,14.0,29.0,-1.0,-1.0,16.0,101,17.0,103.0,18.0,104.0,19.0,105.0,200,1.0,50.0,9.0,20.0,78.0,21.0,72.0,1.0,1200.0,1.0,23.0,78,1.0,45.0,1.5,1.5,1.0,1200.0,400,0.925
759,4.5,27.0,-1.0,-1.0,6.5,102,7.5,104.0,8.5,105.0,9.5,105.0,200,1.0,50.0,9.0,10.5,80.0,11.5,73.0,1.0,320.0,1.0,13.5,80,15.5,45.0,3.5,-1.0,-1.0,1200.0,440,0.93
812,6.0,30.0,-1.0,-1.0,8.0,102,9.0,104.0,10.0,105.0,11.0,106.0,200,1.0,50.0,9.0,12.0,80.0,13.0,73.0,1.0,320.0,1.0,15.0,80,17.0,45.0,4.0,-1.0,-1.0,1200.0,440,0.93
1395,14.0,30.0,-1.0,-1.0,16.0,102,17.0,103.0,18.0,104.0,19.0,105.0,200,1.0,50.0,9.0,20.0,80.0,21.0,73.0,1.0,320.0,1.0,23.0,80,1.0,45.0,4.0,-1.0,-1.0,1200.0,440,0.93
922,19.5,38.0,19.666666666666668,80.0,21.0,100,22.0,102.0,23.0,103.0,0.0,102.0,300,0.5,50.0,10.0,7.5,70.0,8.0,75.0,0.5,370.0,2.0,17.0,45,21.0,40.0,1.5,1.5,-1.0,800.0,420,0.9470000000000001
514,11.0,26.0,-1.0,-1.0,12.5,100,13.5,101.0,14.5,103.0,15.5,105.0,300,0.5,50.0,9.0,17.0,70.0,17.5,78.0,1.0,340.0,1.5,3.0,65,8.0,45.0,1.5,1.5,-1.0,800.0,420,0.935
72,22.0,30.0,-1.0,-1.0,0.0,101,1.0,103.0,2.0,105.0,3.0,107.0,200,1.0,50.0,9.0,4.0,80.0,5.0,72.0,1.0,320.0,1.0,7.0,78,9.0,45.0,1.5,1.5,1.0,1200.0,420,0.971
1344,6.0,30.0,-1.0,-1.0,8.0,102,9.0,104.0,10.0,105.0,11.0,106.0,200,1.0,50.0,9.0,12.0,80.0,13.0,73.0,1.0,320.0,1.0,15.0,80,17.0,45.0,4.0,-1.0,-1.0,1200.0,440,0.93
582,9.5,20.0,-1.0,-1.0,11.5,101,12.5,102.0,13.5,104.0,14.5,105.0,200,1.0,50.0,9.0,15.5,90.0,16.0,78.0,1.0,330.0,1.0,18.5,65,19.5,45.0,1.0,0.5,-1.0,1200.0,420,0.935
1002,14.0,21.0,-1.0,-1.0,15.0,100,16.0,101.0,17.0,102.0,18.0,103.0,200,0.5,50.0,9.0,18.5,70.0,19.0,78.0,1.0,300.0,1.5,21.5,60,4.0,39.0,1.5,1.0,-1.0,800.0,380,0.878
1079,1.0,27.0,-1.0,-1.0,2.5,100,3.5,101.0,4.5,103.0,5.5,105.0,300,0.5,50.0,10.0,9.5,70.0,10.0,78.0,1.0,350.0,1.5,19.0,65,22.0,45.0,1.5,1.5,-1.0,800.0,400,0.902
484,11.0,21.0,-1.0,-1.0,12.5,100,13.5,102.0,14.5,104.0,15.5,105.0,200,0.5,50.0,9.0,17.0,70.0,17.5,78.0,1.0,290.0,1.5,0.5,65,3.5,45.0,1.5,1.5,-1.0,800.0,400,0.902
1823,6.0,29.0,-1.0,-1.0,8.0,102,9.0,103.0,10.0,105.0,11.0,107.0,200,1.0,50.0,9.0,12.0,80.0,13.0,73.0,1.0,320.0,1.0,15.0,79,17.0,45.0,1.5,1.5,1.0,1200.0,400,0.9359999999999999
1818,14.0,29.0,-1.0,-1.0,16.0,102,17.0,103.0,18.0,104.0,19.0,105.0,200,1.0,50.0,9.0,20.0,80.0,21.0,73.0,1.0,320.0,1.0,23.0,80,1.0,45.0,1.5,1.5,1.0,1200.0,420,0.983
457,18.0,35.0,-1.0,-1.0,19.0,100,20.0,102.0,21.0,104.0,22.0,105.0,200,0.5,50.0,9.0,23.5,70.0,0.0,78.0,0.5,290.0,1.0,5.0,65,8.0,45.0,1.5,1.5,-1.0,800.0,400,0.902
69,2.0,18.0,-1.0,-1.0,3.0,100,4.0,103.0,5.0,105.0,6.0,105.0,300,0.5,50.0,9.0,7.333333333333333,70.0,7.833333333333333,74.0,1.1666666666666667,350.0,1.0,10.0,70,11.5,45.0,1.5,1.5,-1.0,800.0,400,0.902
997,12.0,21.0,-1.0,-1.0,13.5,100,14.5,101.0,15.5,103.0,16.5,105.0,200,0.5,50.0,9.0,18.0,70.0,18.5,78.0,1.0,290.0,1.0,3.0,63,4.0,50.0,1.5,1.5,-1.0,800.0,400,0.902
1004,7.0,20.0,-1.0,-1.0,8.5,100,9.5,102.0,10.5,103.0,11.5,105.0,200,0.5,50.0,9.0,13.0,70.0,13.5,78.0,1.0,290.0,1.0,19.0,60,21.0,40.0,1.5,1.5,-1.0,800.0,400,0.902
232,14.0,29.0,-1.0,-1.0,16.0,101,17.0,103.0,18.0,104.0,19.0,105.0,200,1.0,50.0,9.0,20.0,80.0,21.0,72.0,1.0,320.0,1.0,23.0,79,0.0,45.0,1.5,1.5,1.0,1200.0,400,0.9129999999999999
1851,6.0,29.0,-1.0,-1.0,8.0,102,9.0,103.0,10.0,105.0,11.0,107.0,200,1.0,50.0,9.0,12.0,78.0,13.0,72.0,1.0,320.0,1.0,15.0,80,17.0,45.0,1.5,1.5,1.0,1200.0,400,0.925
1167,22.0,20.0,-1.0,-1.0,0.0,101,1.0,103.0,2.0,105.0,3.0,104.0,200,1.0,50.0,9.0,4.0,79.0,4.5,75.0,1.0,320.0,1.0,6.5,65,8.0,45.0,1.5,1.5,1.0,1200.0,400,0.8909999999999999
433,17.0,21.0,-1.0,-1.0,19.0,100,20.0,102.0,21.0,104.0,22.0,106.0,100,1.5,50.0,9.0,23.0,80.0,23.5,78.0,1.0,280.0,1.5,2.5,65,4.5,45.0,1.5,1.5,-1.0,800.0,400,0.8909999999999999
1612,0.0,21.0,-1.0,-1.0,1.5,100,2.5,102.0,3.5,104.0,4.5,105.0,300,0.5,50.0,9.0,6.0,70.0,6.5,78.0,1.0,370.0,1.0,17.0,65,19.0,45.0,1.5,1.5,-1.0,800.0,400,0.902
673,22.0,29.0,-1.0,-1.0,0.0,101,1.0,103.0,2.0,104.0,3.0,105.0,200,1.0,50.0,9.0,4.0,80.0,5.0,73.0,1.0,320.0,1.0,7.0,80,9.0,45.0,1.5,1.5,1.0,1200.0,420,0.983
1958,6.0,29.0,-1.0,-1.0,8.0,102,9.0,103.0,10.0,104.0,11.0,105.0,200,1.0,50.0,9.0,12.0,80.0,13.0,73.0,1.0,320.0,1.0,15.0,80,17.0,45.0,4.0,-1.0,-1.0,1200.0,440,0.93
1046,10.0,22.0,-1.0,-1.0,11.5,100,12.5,101.0,13.5,103.0,14.5,105.0,300,0.5,90.0,9.0,16.5,70.0,17.0,78.0,5.5,220.0,2.0,0.0,65,5.0,50.0,2.0,-1.0,-1.0,400.0,340,0.92
732,6.0,28.0,-1.0,-1.0,8.0,102,9.0,104.0,10.0,105.0,11.0,105.0,200,1.0,50.0,9.0,12.0,80.0,13.0,73.0,1.0,320.0,1.0,15.0,80,17.0,45.0,4.0,-1.0,-1.0,1200.0,440,0.93
355,7.0,38.0,7.166666666666667,80.0,8.5,100,9.5,103.0,10.5,103.0,11.5,104.0,300,0.5,50.0,9.0,16.5,70.0,17.0,75.0,0.5,370.0,2.0,3.0,65,8.0,45.0,1.5,1.5,-1.0,800.0,400,0.9470000000000001
568,8.0,29.0,-1.0,-1.0,10.0,102,11.0,103.0,12.0,104.0,13.0,105.0,200,1.0,50.0,9.0,14.0,78.0,15.0,73.0,1.0,320.0,1.0,17.0,80,19.0,45.0,1.5,1.5,1.0,1200.0,400,0.902
1531,16.666666666666668,41.0,-1.0,-1.0,17.833333333333332,100,18.833333333333332,102.0,19.833333333333332,102.0,20.833333333333332,103.0,300,0.5,50.0,9.0,0.5,70.0,1.0,75.0,0.5,360.0,2.0,13.5,65,15.5,45.0,1.5,1.5,-1.0,800.0,400,0.8909999999999999
949,10.0,23.0,-1.0,-1.0,11.0,100,12.0,104.0,13.0,106.0,14.0,107.0,300,0.5,50.0,9.0,15.0,70.0,15.5,76.0,1.0,320.0,1.0,18.0,66,20.0,45.0,1.1666666666666667,1.1666666666666667,-1.0,800.0,400,0.9129999999999999
1856,22.0,29.0,-1.0,-1.0,0.0,102,1.0,103.0,2.0,104.0,3.0,105.0,200,1.0,50.0,9.0,4.0,78.0,5.0,73.0,1.0,320.0,1.0,7.0,80,9.0,45.0,1.5,1.5,1.0,1200.0,400,0.902
907,6.5,39.0,6.666666666666667,80.0,8.25,100,9.25,102.0,10.25,104.0,11.25,102.0,300,0.5,50.0,9.0,14.5,70.0,15.0,75.0,0.5,370.0,2.0,3.0,65,8.0,39.0,1.5,1.5,-1.0,800.0,400,0.879
225,6.0,29.0,-1.0,-1.0,8.0,102,9.0,103.0,10.0,105.0,11.0,107.0,200,1.0,50.0,9.0,12.0,79.0,13.0,72.0,1.0,320.0,1.0,15.0,80,17.0,45.0,1.5,1.5,1.0,1200.0,400,0.9129999999999999
1175,22.0,29.0,-1.0,-1.0,0.0,101,1.0,103.0,2.0,104.0,3.0,105.0,200,1.0,50.0,9.0,4.0,80.0,5.0,73.0,1.0,320.0,1.0,7.0,80,9.0,45.0,1.5,1.5,1.0,1200.0,420,0.983
219,14.0,30.0,-1.0,-1.0,16.0,100,17.0,104.0,18.0,106.0,19.0,107.0,200,1.0,50.0,9.0,20.0,80.0,21.0,73.0,1.0,320.0,1.0,23.0,80,1.0,45.0,1.5,1.5,1.0,1200.0,420,0.971
17,19.0,23.0,-1.0,-1.0,20.5,100,21.5,102.0,22.5,102.0,23.5,103.0,300,0.5,50.0,9.0,1.5,70.0,2.0,77.0,1.0,300.0,1.0,12.0,60,16.0,40.0,1.5,1.5,-1.0,800.0,400,0.879
1752,6.0,29.0,-1.0,-1.0,8.0,102,9.0,103.0,10.0,104.0,11.0,105.0,200,1.0,50.0,9.0,12.0,78.0,13.0,73.0,1.0,320.0,1.0,15.0,79,17.0,45.0,1.5,1.5,1.0,1200.0,400,0.925
368,1.0,38.0,1.1666666666666667,80.0,2.5,100,3.5,103.0,4.5,104.0,5.5,102.0,300,0.5,50.0,10.0,11.5,70.0,12.0,75.0,0.5,370.0,2.5,23.0,55,4.0,45.0,1.5,1.5,-1.0,800.0,420,0.935
1097,8.0,21.0,-1.0,-1.0,9.5,100,10.5,101.0,11.5,103.0,12.5,105.0,300,0.5,50.0,9.0,14.5,70.0,15.0,78.0,1.0,340.0,1.5,0.0,65,5.0,45.0,1.5,1.5,-1.0,800.0,440,0.9670000000000001
1388,21.0,29.0,-1.0,-1.0,23.0,102,0.0,103.0,1.0,104.0,2.0,105.0,200,1.0,50.0,9.0,3.0,80.0,4.0,73.0,1.0,320.0,1.0,6.0,80,8.0,45.0,4.0,-1.0,-1.0,1200.0,420,0.888
296,17.5,24.0,-1.0,-1.0,19.0,100,20.0,102.0,21.0,104.0,22.0,105.0,300,0.5,35.0,9.0,1.0,70.0,1.5,78.0,1.0,300.0,1.0,12.5,60,14.5,40.0,1.0,1.5,-1.0,800.0,400,0.902
365,21.0,41.0,21.333333333333332,80.0,22.75,100,23.75,102.0,0.75,102.0,1.75,104.0,300,0.5,50.0,9.0,5.0,70.0,5.5,75.0,0.5,370.0,2.0,15.5,60,19.0,45.0,1.5,1.5,-1.0,800.0,420,0.9470000000000001
1753,14.0,30.0,-1.0,-1.0,16.0,100,17.0,102.0,18.0,104.0,19.0,106.0,200,1.0,50.0,9.0,20.0,80.0,21.0,73.0,1.0,320.0,1.0,7.0,78,9.0,45.0,1.5,1.5,1.0,1200.0,400,0.9470000000000001
1747,22.0,29.0,-1.0,-1.0,0.0,101,1.0,103.0,2.0,104.0,3.0,105.0,200,1.0,50.0,9.0,4.0,80.0,5.0,73.0,1.0,320.0,1.0,7.0,80,9.0,45.0,1.5,1.5,1.5,1200.0,400,0.9359999999999999
1289,14.0,27.0,-1.0,-1.0,16.0,102,17.0,104.0,18.0,105.0,19.0,106.0,200,1.0,50.0,9.0,20.0,80.0,21.0,73.0,1.0,320.0,1.0,23.0,80,0.0,45.0,4.0,-1.0,-1.0,1200.0,460,0.998
1552,5.0,32.0,5.5,80.0,7.0,100,8.0,103.0,9.0,103.0,10.0,104.0,300,0.5,50.0,9.0,11.166666666666666,70.0,11.666666666666666,75.0,0.5,350.0,2.0,18.5,65,1.0,35.0,1.0,1.5,-1.0,800.0,400,0.902
717,6.0,30.0,-1.0,-1.0,8.0,102,9.0,103.0,10.0,104.0,11.0,104.0,200,1.0,50.0,9.0,12.0,78.0,13.0,76.0,1.0,320.0,1.0,15.0,79,17.0,45.0,1.5,1.5,1.0,1200.0,400,0.9359999999999999
1950,14.0,30.0,-1.0,-1.0,16.0,102,17.0,103.0,18.0,104.0,19.0,105.0,200,1.0,50.0,9.0,20.0,80.0,21.0,73.0,1.0,320.0,1.0,23.0,80,1.0,45.0,4.0,-1.0,-1.0,1200.0,440,0.93
1786,22.0,29.0,-1.0,-1.0,0.0,102,1.0,103.0,2.0,104.0,3.0,105.0,200,1.0,50.0,9.0,4.0,80.0,5.0,73.0,1.0,320.0,1.0,7.0,80,9.0,45.0,1.5,1.5,1.0,1200.0,400,0.925
1979,6.0,29.0,-1.0,-1.0,8.0,102,9.0,103.0,10.0,104.0,11.0,105.0,200,1.0,50.0,9.0,12.0,80.0,13.0,73.0,1.0,320.0,1.0,15.0,80,17.0,45.0,1.5,1.5,1.0,1200.0,440,0.93
543,4.0,26.0,-1.0,-1.0,5.5,100,6.5,102.0,7.5,102.0,8.5,102.0,300,0.5,50.0,9.0,9.5,70.0,10.0,78.0,1.0,340.0,1.5,19.0,65,21.0,45.0,1.5,1.5,-1.0,800.0,420,0.9470000000000001
995,19.0,26.0,-1.0,-1.0,20.0,100,21.0,101.0,22.0,102.0,23.0,103.0,200,0.5,50.0,10.0,23.5,70.0,0.0,77.0,1.0,300.0,1.5,2.5,58,4.0,40.0,1.5,1.5,-1.0,800.0,390,0.89
1849,6.0,29.0,-1.0,-1.0,8.0,101,9.0,103.0,10.0,105.0,11.0,107.0,200,1.0,50.0,9.0,12.0,80.0,13.0,72.0,1.0,320.0,1.0,15.0,80,17.0,45.0,1.5,1.5,1.0,1200.0,400,0.9129999999999999
814,21.0,29.0,-1.0,-1.0,23.0,102,0.0,103.0,1.0,104.0,2.0,105.0,200,1.0,50.0,9.0,3.0,80.0,4.0,73.0,1.0,320.0,1.0,6.0,80,8.0,45.0,3.0,-1.0,-1.0,1200.0,440,0.93
553,2.0,27.0,-1.0,-1.0,3.5,100,4.5,101.0,5.5,103.0,6.5,102.0,300,0.5,50.0,10.0,8.0,70.0,8.5,78.0,1.0,340.0,1.5,19.0,65,21.0,50.0,1.5,1.5,-1.0,800.0,440,0.9670000000000001
363,8.75,38.0,9.0,80.0,10.5,100,11.5,103.0,12.5,104.0,13.5,102.0,300,0.5,50.0,10.0,14.5,70.0,15.0,75.0,0.5,370.0,2.0,22.0,50,23.0,39.0,1.5,1.5,-1.0,800.0,420,0.9470000000000001
550,21.5,21.0,-1.0,-1.0,23.0,100,0.0,102.0,1.0,102.0,2.0,102.0,300,0.5,50.0,10.0,5.0,70.0,5.5,78.0,1.0,350.0,1.5,15.5,65,19.0,45.0,1.5,1.5,-1.0,800.0,420,0.9470000000000001
43,3.5,21.0,-1.0,-1.0,4.5,100,5.5,102.0,6.5,103.0,7.5,104.0,300,0.5,40.0,9.0,11.5,70.0,12.0,78.0,1.0,300.0,1.5,21.5,60,2.0,40.0,1.5,1.5,-1.0,800.0,400,0.902
1065,22.5,21.0,-1.0,-1.0,0.0,100,1.0,101.0,2.0,102.0,3.0,102.0,300,0.5,50.0,10.0,6.5,70.0,7.0,78.0,1.0,340.0,1.0,16.5,65,19.0,45.0,1.5,1.5,-1.0,800.0,420,0.935
1151,8.0,29.0,-1.0,-1.0,10.0,101,11.0,103.0,12.0,104.0,13.0,105.0,200,1.0,50.0,9.0,14.0,80.0,15.0,73.0,1.0,320.0,1.0,17.0,80,19.0,45.0,1.5,1.5,1.0,1200.0,400,0.902
763,6.0,30.0,-1.0,-1.0,8.0,103,9.0,104.0,10.0,105.0,11.0,106.0,200,1.0,50.0,9.0,12.0,80.0,13.0,73.0,1.0,310.0,1.0,15.0,80,17.0,45.0,3.5,-1.0,-1.0,1200.0,440,0.93
1468,2.0,80.0,-1.0,-1.0,4.0,100,5.0,102.0,6.0,103.0,7.0,103.0,300,0.5,50.0,9.0,8.0,70.0,8.5,75.0,0.5,350.0,2.0,16.5,60,20.0,45.0,1.5,1.5,-1.0,800.0,400,0.879
653,6.0,29.0,-1.0,-1.0,8.0,102,9.0,103.0,10.0,105.0,11.0,104.0,200,1.0,50.0,9.0,12.0,79.0,13.0,76.0,1.0,320.0,1.0,15.0,75,17.0,45.0,1.5,1.5,1.0,1200.0,400,0.9359999999999999
536,6.0,24.0,-1.0,-1.0,7.5,100,8.5,102.0,9.5,104.0,10.5,105.0,300,0.5,50.0,9.0,14.0,70.0,14.5,78.0,1.0,340.0,1.5,1.0,65,5.0,45.0,1.5,1.5,-1.0,800.0,400,0.879
1822,22.0,29.0,-1.0,-1.0,0.0,102,1.0,103.0,2.0,104.0,3.0,105.0,200,1.0,50.0,9.0,4.0,78.0,5.0,73.0,1.0,320.0,1.0,7.0,80,9.0,45.0,1.5,1.5,1.0,1200.0,400,0.925
1567,4.0,37.0,4.5,80.0,6.0,100,7.0,102.0,8.0,103.0,9.0,102.0,300,0.5,50.0,10.0,11.5,70.0,12.0,75.0,0.5,330.0,2.0,22.0,65,1.0,45.0,1.5,1.5,-1.0,800.0,390,0.89
1947,14.0,30.0,-1.0,-1.0,16.0,102,17.0,104.0,18.0,105.0,19.0,106.0,200,1.0,50.0,9.0,20.0,80.0,21.0,73.0,1.0,320.0,1.0,23.0,80,1.0,45.0,4.0,-1.0,-1.0,1200.0,440,0.93
643,22.0,29.0,-1.0,-1.0,0.0,102,1.0,103.0,2.0,104.0,3.0,105.0,200,1.0,50.0,9.0,4.0,78.0,5.0,73.0,1.0,320.0,1.0,7.0,80,9.0,45.0,1.5,1.5,14.0,1200.0,420,0.983
765,22.0,29.0,-1.0,-1.0,0.0,100,1.0,101.0,2.0,103.0,3.0,105.0,200,1.0,50.0,9.0,4.0,80.0,5.0,73.0,1.0,320.0,1.0,7.0,80,9.0,45.0,2.0,-1.0,-1.0,1200.0,440,0.955
555,1.0,29.0,-1.0,-1.0,3.0,101,4.0,103.0,5.0,104.0,6.0,105.0,200,1.0,50.0,9.0,7.0,80.0,8.0,73.0,1.0,320.0,1.0,10.0,80,12.0,45.0,1.5,1.5,1.0,1200.0,420,0.9470000000000001
158,22.0,26.0,-1.0,-1.0,0.0,102,1.0,103.0,2.0,104.0,3.0,105.0,200,1.0,50.0,9.0,4.0,79.0,5.0,76.0,1.0,320.0,1.0,7.0,75,9.0,45.0,1.5,1.5,1.0,1200.0,420,0.971
528,1.0,24.0,-1.0,-1.0,2.5,100,3.5,101.0,4.5,102.0,5.5,102.0,300,0.5,50.0,10.0,7.0,70.0,7.5,78.0,1.0,340.0,1.0,19.0,65,23.0,45.0,1.5,1.5,-1.0,800.0,420,0.935
650,6.0,29.0,-1.0,-1.0,8.0,100,9.0,103.0,10.0,104.0,11.0,105.0,200,1.0,50.0,9.0,12.0,80.0,13.0,73.0,1.0,320.0,1.0,15.0,80,17.0,45.0,1.5,1.5,1.0,1200.0,400,0.9470000000000001
310,8.0,19.0,-1.0,-1.0,8.5,100,9.5,103.0,10.5,103.0,11.5,103.0,300,0.5,40.0,10.0,15.5,70.0,16.0,78.0,1.0,300.0,1.0,1.0,60,3.5,45.0,1.5,1.5,-1.0,800.0,390,0.89
1312,14.0,30.0,-1.0,-1.0,16.0,102,17.0,103.0,18.0,104.0,19.0,105.0,200,1.0,50.0,9.0,20.0,80.0,21.0,73.0,1.0,320.0,1.0,23.0,80,1.0,45.0,4.0,-1.0,-1.0,1200.0,460,0.973
705,6.0,29.0,-1.0,-1.0,8.0,102,9.0,104.0,10.0,103.0,11.0,105.0,200,1.0,50.0,9.0,12.0,79.0,13.0,78.0,1.0,320.0,1.0,15.0,78,17.0,45.0,1.5,1.5,1.5,1200.0,400,0.925
594,19.5,22.0,-1.0,-1.0,21.0,100,22.0,101.0,23.0,103.0,0.0,104.0,200,1.0,50.0,9.0,1.1666666666666667,80.0,1.6666666666666667,70.0,1.3333333333333333,340.0,1.0,4.0,70,7.0,40.0,1.5,1.0,-1.0,800.0,400,0.902
1191,6.0,28.0,-1.0,-1.0,8.0,101,9.0,102.0,10.0,105.0,11.0,104.0,200,1.0,50.0,9.0,12.0,79.0,13.0,75.0,1.0,320.0,1.0,15.0,74,17.0,45.0,1.5,1.5,1.0,1200.0,400,0.925
1481,0.0,30.0,-1.0,-1.0,2.0,100,3.0,102.0,4.0,103.0,5.0,104.0,300,0.5,50.0,9.0,13.0,70.0,13.5,75.0,0.5,350.0,1.0,20.5,65,3.0,45.0,1.5,1.5,-1.0,800.0,400,0.879
777,14.0,27.0,-1.0,-1.0,16.0,102,17.0,104.0,18.0,105.0,19.0,106.0,200,1.0,50.0,9.0,20.0,80.0,21.0,73.0,1.0,320.0,1.0,23.0,80,1.0,45.0,4.0,-1.0,-1.0,1200.0,440,0.943
66,11.0,18.0,-1.0,-1.0,12.0,100,13.0,105.0,14.0,105.0,15.0,106.0,300,0.5,50.0,9.0,16.333333333333332,70.0,16.833333333333332,76.0,1.1666666666666667,350.0,1.0,19.0,69,20.5,45.0,1.5,1.5,-1.0,800.0,400,0.902
1776,14.0,29.0,-1.0,-1.0,16.0,100,17.0,102.0,18.0,104.0,19.0,106.0,200,1.0,50.0,9.0,20.0,78.0,21.0,73.0,1.0,320.0,1.0,23.0,80,1.0,45.0,1.5,1.5,1.0,1200.0,420,0.983
975,18.0,21.0,-1.0,-1.0,19.5,100,20.5,101.0,21.5,102.0,22.5,102.0,200,0.5,30.0,9.0,23.5,70.0,0.0,79.0,0.75,300.0,1.5,2.5,52,3.8333333333333335,40.0,1.6666666666666667,1.6666666666666667,-1.0,900.0,405,0.9129999999999999
892,6.0,40.0,6.25,80.0,7.5,100,8.5,102.0,9.5,102.0,10.5,103.0,300,0.5,50.0,9.0,14.5,70.0,15.0,75.0,0.5,330.0,2.0,3.0,65,8.0,28.0,1.5,1.5,-1.0,800.0,400,0.902
